"","WT1_25_Slot2-5_1_3496","WT1_50_Slot2-9_1_3502","WT1_100_Slot2-4_1_3495","WT1_Veh_Slot2-2_1_3493","WT3_25_Slot2-6_1_3497","WT3_50_Slot2-10_1_3503","WT3_100_Slot2-11_1_3504","WT3_Veh_Slot2-13_1_3507","WT4_25_Slot2-14_1_3508","WT4_50_Slot2-7_1_3499","WT4_100_Slot2-16_1_3510","WT4_Veh_Slot2-12_1_3505","WT5_25_Slot2-8_1_3500","WT5_50_Slot2-17_1_3511","WT5_100_Slot2-3_1_3494","WT5_Veh_Slot2-15_1_3509"
"Jph1",17982.4591555399,16759.5539815895,18749.7999999137,15245.3420725614,17877.5920806119,17241.4352587881,16255.5357733115,22454.8138789575,20359.9598925157,18454.4654641313,NA,17775.4288261499,16847.2250999056,17359.7622146271,24545.9849419872,14842.1689506005
"Cbl",19988.2321781029,20621.6831892906,17831.4037693065,22722.3126624822,20581.0556536397,20940.1709391476,18074.4414719414,23229.0096829172,19814.5219618924,19891.1655072459,18336.0526723104,23259.9651230892,22205.713956956,18527.2182167583,17713.8881908399,23290.1004857438
"Ank1",63905.850725404,69964.7159766127,79990.1734080152,69140.3814847079,71505.8806852256,73741.6481488149,72564.2837376256,64613.9046548206,80093.6621940642,80510.5071931912,78616.0046948099,65367.2670865318,69443.5436123957,62424.1235383195,78649.7451102908,64805.4469522966
"Dhrs7",75405.6606320028,87741.4965503083,96634.4694383817,65673.2471199027,80528.5105773158,77575.1918633822,87163.202593918,67164.4615828549,78294.3720443502,82255.4474114956,78909.1824182215,70259.2819163764,79302.7146404186,79095.3252147536,85344.4792352268,62657.6861608229
"Sacs",51195.1363236907,57362.1188803494,57464.8649502339,40583.8024771977,53233.7528502059,55079.3424894945,57271.3801604823,46867.5182755863,56001.8184763613,55966.4211128832,51454.8057389935,42312.3031306744,57448.0179455925,54403.9817125576,54411.0650812673,44005.4007883106
"Erlin2",259424.062432094,296271.250786091,306297.501066018,278775.740901649,290286.464940576,281132.825927941,315549.89221362,292277.102773884,276940.587112364,259071.998133649,288828.959347244,290190.056443027,289904.488621079,304869.487958909,311946.100774759,302601.790114
"Dync1i2",267144.057901577,215314.109861411,236016.677597451,239106.827905069,238601.292842752,254141.517990201,234232.85792578,247615.733466831,192651.808860289,191657.982373881,267234.194316299,305792.277969184,198423.921686916,235928.931620899,245960.773733309,247626.528167089
"Lmbrd2",20230.2453580306,17303.6043493209,17689.3456088262,12711.4486141316,17050.7669816094,17419.1214033771,17351.2909627622,15926.2546188747,17733.4237373163,NA,13241.0701487324,15509.0574253974,20964.0489608045,14922.0295471537,17705.4416360204,15155.6491464485
"Ncbp2",10240.5901552507,17918.9066988849,14932.0471355163,13700.8267771994,14537.2004428347,12334.0958599336,13147.6046954784,10705.4175210196,16480.7588880946,19840.2690220652,15605.7394392754,13075.0724715167,14818.8420827381,16747.8731882917,12152.0261139416,14164.2298141532
"Anxa5",2886809.12332177,3144389.87309616,3149015.83528698,2859743.37380956,3078047.58010811,3147068.7774525,2840530.40998829,2617372.63672736,2528305.63650105,2663169.69464808,2768140.68254843,3105798.07292809,3229826.01369831,3046341.23224335,3505142.82983006,2979628.27745356
"Erlin1",61046.6354083879,75870.6590410123,77735.1221793972,56835.1225803236,67919.4631406891,68207.4349722554,62730.381889062,71636.2933723727,63311.1091883678,56798.4756732507,60146.3224801485,68949.062106141,67661.1182349701,64275.3107382822,76607.3470801878,63126.1922699145
"Eri1",12415.6999999799,17589.1999999715,NA,16278.1999999737,NA,NA,NA,11184.5999999819,NA,NA,5300.30999999141,11645.3248778784,NA,NA,13002.19228466,13406.8999999783
"Cask",92802.1463860739,84900.054850295,80179.6224486269,94863.2639307609,90273.0944498927,89367.8227160314,82585.46269829,91375.1377176536,90323.0253615147,96061.2220434694,78381.1930561609,89809.0240337739,94658.5429898272,80108.5948063626,82126.0044425886,94882.7304550476
"Atg3",59518.8972041736,59347.6259660717,57733.6523560201,62081.0666520092,63597.8110347459,67112.543427532,59895.5810054152,57923.9676421087,59701.2641372912,58849.1779132582,59359.7580179805,63924.0019391766,61798.9477148728,57972.9588957068,60081.1601556381,65922.9943669183
"Acot2",47233.0139141779,59614.1371469361,47705.3034703845,53538.1410842179,62973.9947532112,44346.2080031007,65452.2745676654,45393.6598809205,75109.3516059891,75019.532913817,57696.1135745997,43851.689094355,55180.6824492903,63840.3148786153,51267.9829511536,62567.6740751546
"Snta1",61128.0053848258,64027.2027209443,61965.3534711795,47464.8190031303,56936.3344956664,58078.289819684,53884.8602094282,46078.113277882,60532.5564563617,61399.5441800988,60270.2664113877,47577.5393950534,57818.5357116072,62555.4718966292,61966.9761075459,43718.0188822249
"Zfand5",19778.3345735577,12796.3263531084,9451.27273606215,20696.5964787992,14763.160148576,13650.8540227438,10219.0130143669,22869.5447264545,15262.2366365344,13286.7967436481,9319.33822031071,17288.5078083705,16760.9826562587,10855.7263529239,8480.05836222748,20515.261441596
"Ece1",38530.2756768416,41277.6365127521,43578.0240330254,45122.0072467416,41270.3394340673,39763.0136305569,40959.4015078053,44565.0621328097,40986.2308252293,40787.959987321,35199.7767849055,49055.3668894716,40864.6433939944,37484.6047122824,42583.9241139469,44248.1574695206
"Vamp1",128399.947632823,115683.051097811,107120.591316317,83557.4240384344,97477.7524043369,113628.500264399,105507.754293334,93639.7365718085,97937.3035970211,135483.689367481,111282.502309071,69496.2646515221,112195.334436694,154455.363239891,95753.4431471532,94329.1191153015
"Vamp2",354571.10861416,347533.423842161,306112.589735951,277998.377428855,366359.701690405,377788.772927835,319764.25493758,270900.239885251,331360.777931946,277989.552677552,323694.644303898,272386.764778572,349309.347539252,399802.615631654,331881.631893838,388635.360901855
"Ccdc115",26891.6755080257,21826.1813499893,24337.708068534,14224.7139793619,25270.2469069963,26626.479882471,21683.0234564796,21083.7181008151,21722.4537379975,23796.1598068682,24916.5388266987,17030.9581053804,20587.1118700006,20760.5253795612,23572.5849079775,18004.0263833683
"Gorasp2",139488.661347122,152905.654336632,174785.862053842,138633.851586763,154096.48686939,141379.500656219,171725.163691903,135753.857951475,128177.899712584,138050.43954721,129712.108286093,142917.439729539,141204.385116145,148057.309019077,163791.847312441,125983.018428617
"Kif16b",16579.1777225972,16907.391251254,17037.4880245983,14942.9737226906,16904.6653473136,14684.1663193614,17694.7127513279,17110.7574047326,17282.3258631989,17724.9643777905,19792.1378037557,15266.8642201014,18065.5378405404,16126.095591546,12565.2332663249,20968.2087220572
"Ahsa1",154906.063229051,134724.333273746,122703.774809011,134678.867968169,135218.639728226,139876.491096592,135333.055659296,137451.692993666,122470.439302353,134782.642747839,144077.021914486,139020.051981637,150849.154566107,138291.573106883,144261.183355544,137712.889748725
"Adam22",34516.6099397774,34268.5273568805,36339.0267786168,30762.3199371869,32067.0551627121,36257.4333941838,30253.7064001016,35997.1345284292,30010.9227956825,33579.1450370474,31881.2024727779,35997.0641981147,31876.3551018343,30693.6832831857,34483.7680971147,30946.0520353813
"Tufm",719745.237668671,664490.364701041,604669.676885642,571335.936685422,645956.527511623,622904.239410104,615332.027069523,624102.698871195,567797.963479477,611051.749590518,575295.634837169,600939.1885544,665549.022552863,679320.160305802,637496.988741774,587609.892426506
"Tmem160",56878.4848571536,68859.1730127519,78697.592435621,65725.1406663567,73330.1895645357,63709.740324117,67025.3294860371,59550.8526261511,78331.0681759998,64549.8327046654,51151.5786482633,58564.2950105007,68125.5767752307,77351.464000492,70029.204317766,80392.3963811805
"Sgpp1",14549.5226737305,14825.5408623339,15090.4338999152,14073.5922580322,14933.2347703595,17812.0315377383,16447.5592033821,16967.2549379546,13840.5084436906,14211.3169772075,13335.2247361113,12985.6686073099,16003.2721881474,14162.9869419876,16766.0694757819,13277.5686766408
"Akap12",236909.574812185,156761.897120374,118166.285683365,216890.086104327,197555.747438945,183893.537902882,138910.825798714,217835.733159774,169360.209910959,170245.967488997,158386.349943728,283147.180164588,215859.914334641,164288.525633782,125739.8647776,228433.719483369
"Septin5",239596.371140797,199622.227093857,179214.467498213,220001.235838223,217279.982304427,217262.852802825,171706.091413216,200696.944489274,198137.23350904,181908.790781124,193270.17404391,231583.549756182,219511.12887998,192625.932351379,201105.619677119,218878.348119261
"Zc3h14",24163.0077382232,20632.8595204168,17980.205436677,27205.4731574788,22259.7353402246,20657.8279337668,19628.3064407027,28783.5934900378,21891.2627247648,22944.9661250754,22264.5834634207,25912.4374146201,22752.7714295843,23230.1055781342,17709.4387245893,25479.6404620509
"Trappc11",29418.1369798114,32955.1747963485,34799.0292817229,26775.5295076111,34435.6014659248,32454.9769409396,35162.7319579382,25966.4621692235,28049.6670619729,31373.9537903026,29872.0598475734,25299.9738952102,33889.7495252538,32132.4886418263,33032.4712760091,25627.0324058009
"Scp2",173988.548693365,198684.48743086,190465.423209786,139241.757214312,188280.064535415,205277.737036236,193687.509741634,201944.645202934,153531.445884617,180203.36054671,174764.307208952,149686.406368357,195462.439018153,197941.079518319,205242.343698034,161274.362299628
"Wbp11",24742.564135703,26787.0335050709,20707.9121396139,33587.2765167086,24565.4442495655,28242.8072477908,23250.7824253455,31275.1664252146,27688.172092894,27908.1515404303,26194.168140929,28760.1249262677,30196.9079621694,24031.6096348287,22203.0114239275,28496.3616402646
"C1galt1",10361.01481462,10957.0997370971,9532.03966247797,10236.2939639519,10837.2398795411,11968.7690198566,11596.534015444,11831.0973693437,11230.5826294855,9797.91898367071,12033.7221474306,13575.3003033567,11018.1303545128,9718.18403399697,10170.4765958836,10314.9863527383
"Nes",174039.160956724,113339.737408333,88908.5243840534,314862.522089811,125555.118837241,108439.800051916,82009.4905898171,303313.766118694,144864.617718299,112838.458148581,95462.1209997059,345058.418853618,145113.181914193,120020.085899526,69721.90228472,315862.18543841
"Tbc1d9b",27193.5360251036,31274.2478471433,34125.2767755321,32053.6436956389,29866.9433034429,30780.9821656235,32994.3788010988,30871.4634894222,30600.6477842503,33874.1026651414,31243.7483964346,30176.4649690663,29585.1106943992,27247.2882067307,30184.0063164064,32781.6906287419
"Col18a1",304890.384593447,300884.893106075,296215.039863857,364113.894234414,281684.31346401,271048.693408864,267242.633379684,295807.301707586,291290.969301727,319170.650020958,241889.020709533,305411.489414937,283155.581869606,301454.244720795,260127.109791989,325740.409845511
"Cog4",1172613.07282338,1185258.50918918,1322706.26504601,1086673.90717748,1267104.05826972,1271934.53500395,1346790.53288374,1083038.25080972,1155386.61668643,1216863.92725473,1271565.86971011,1086506.48572576,1168781.757232,1281607.73723926,1333253.85294203,1115910.13979688
"Cd163",28962.4167549786,27329.9891188276,29331.9087435368,19562.4792642526,27441.319680865,32436.8077780167,28427.7873450268,28952.7018701435,34130.9665871588,35165.3050781571,38005.9466135413,27129.5484558373,27111.2987783604,32015.6973049455,25436.9068764842,22894.233652042
"Sart1",27987.0046902466,26324.8720831602,22191.7293322354,29372.8403566192,26476.5607583512,25823.2953016649,24933.4929502604,30228.7037915929,29195.8637724544,28150.9589637405,25681.0842158394,29030.5137467366,27505.1730376006,25304.8684999329,20978.3123954634,28467.0196633312
"Eif3g",234504.58315291,194264.351728149,185172.748149481,234282.458473505,218053.280042022,181297.849302636,224382.106492851,184796.369688207,227898.78710376,217106.10907391,206882.403006281,241478.982857644,205576.011860757,219759.118134966,185192.150578137,251089.824651078
"Ttll12",37993.7305938357,38786.5996613775,31092.7261954593,39333.3615621182,38218.7950959988,42545.5835820424,34781.2438406702,35889.3811930047,32654.5090294214,39291.2168692864,37320.3002950395,39669.5642893882,37184.4363478016,36958.6182778565,35496.3925981567,37869.1969115443
"Elob",107467.378341104,101501.219536129,95791.089395815,102532.014593337,104024.882007551,98578.7020458006,100265.843711219,98000.6536562101,78953.3029672183,88991.9946423714,99613.3453591791,106658.931885567,100977.265364349,98943.8256191977,108845.977963323,108292.356421691
"Dars1",550096.975645921,571749.738746073,631424.323031228,456473.506125818,590858.205694423,604760.700144863,648803.222420672,426001.859675553,487355.225394199,544234.191577085,560264.058730882,466076.665445743,533853.868215908,605962.474713561,680924.406287228,451636.988688534
"Atp6v0d1",245904.831624165,226995.824567701,222124.335941048,183060.610670268,237790.562865091,235695.621422187,188147.353481611,196574.22900772,185104.034647661,187782.852837644,193787.518971913,203836.115467658,221024.180112788,229494.448884092,249503.990076597,186278.036669218
"Dgkg",14580.447656393,19635.6375962197,19061.5863700249,14757.2128619055,18274.4624145018,17542.0410172433,24318.4889356396,10629.4442409863,15891.1838209456,16398.3418334672,19553.9115454638,15215.6814542889,14084.0705806363,18196.3399666462,20966.3562235842,14464.5556954119
"Depdc5",10837.9949633578,9616.93865373851,7881.41611181084,8029.00554502713,9443.93407426581,11688.9796093324,11648.5021322555,11026.5098788804,9091.33618814061,11134.6710860563,12639.3674081544,9112.40561955015,8972.25996767985,8993.41912263765,9098.12127474098,9495.97736863234
"Ftsj3",5642.93110749339,4757.80186853685,3858.20934961253,11630.3923417461,6161.53819794494,NA,4080.62097807438,8066.07790647034,2746.87651325146,6753.96033392335,1835.60426836463,9538.68944473957,5789.84297623211,4330.03626956983,3459.1015575892,6580.46478727446
"Pitpnb",35654.4877535989,30672.3594939127,28655.7280168124,43166.3742378044,32426.3380077141,32588.3450525678,32475.8798595531,36582.5069754597,31754.371931188,34284.3397522765,33616.8320411646,42259.1149368619,33816.4284909569,33701.7882569626,29912.5741851068,41734.956964248
"Nutf2",264728.646927765,206173.347042184,207732.933566276,179790.768343295,195453.419054756,221879.693270321,180050.502804803,189016.466107539,158593.909066181,187655.536714992,196173.423562461,205565.490720851,214878.012746652,199016.023061933,247590.518663422,164377.124267887
"Prdx1",1058421.75928559,1041793.41313629,1035058.70293137,1567638.80041072,1033501.18366126,1064467.60700746,1018788.11997446,1699382.96575112,993724.581171867,1046071.39752309,904905.86025683,1554582.22745775,1110950.46697389,856209.371993662,1016818.55876136,1470036.6096925
"Aph1a",16351.7,15119.6,15154.8,11999.1,15469.1,10092.1,15038.5,12878.6,23144.4,16666.2,16424.6,18115.6,16039.3,19345.7,11832.9,14234.2
"Cux1",28888.6689369442,28668.7398542888,34951.2308790036,29485.2675766276,24726.6256914183,27616.8057287894,28539.1417023786,30862.4537791697,25725.6557339783,24579.3675647823,29730.5706282781,29473.0527939229,23282.8880883446,27656.0944872458,28347.2599391714,29565.0178750452
"Tmem87a",45344.9506880303,49690.4095231311,50576.2138380731,40927.9060635207,48789.1398962493,44829.3108492963,50029.768254168,46252.2467489295,46573.3950237736,43615.4853595632,36767.703393779,43875.5848564778,47559.518078879,49653.444379631,50180.683699766,42564.9207295735
"Cfdp1",46559.8946876658,46304.0959663988,36441.7217690143,61124.8245326627,42608.4282691039,47530.4395151242,36825.285102355,61486.2484791058,46719.0861884754,44837.1055454487,43398.9097133564,74206.0361704955,41960.5578239444,43693.9948979412,35893.3348660104,68178.4775831093
"Psma1",351890.783731868,336725.970677391,322475.789776843,351310.363514898,345756.678892694,373185.069964933,310903.013240394,321941.298512566,272538.506769428,310628.152879332,272212.63474505,357337.525450852,335475.077048572,307961.985344771,366835.036422203,314581.78393967
"Clstn3",10268.8996235931,10202.6838487664,9761.0343209473,12257.9439272371,11604.966581111,12745.9837808884,8917.76710133761,18555.9006147586,12350.6949298271,9882.64134622368,8170.65000001064,12764.3104860659,10283.4723975488,11350.7232945926,8930.43137554046,16373.4785972894
"Acly",408679.716527945,401485.300223788,428312.971804277,529601.818632851,471887.127734643,424925.14635126,432705.241008889,425513.844271753,399880.160469217,408689.983279614,447689.785570936,559447.944423232,421544.651365446,391833.569417926,462217.88484577,491329.342042367
"Palm",81478.6174458741,77284.4428411593,69906.356066236,67198.1132213457,72572.8570008124,88491.5584008658,68260.4391753988,74505.1083356686,81794.5617470955,81300.9965182232,75316.7070530657,75998.97535171,83074.441304248,78484.4499385059,62365.0789271674,69923.8430510936
"Myh9",433599.411287749,413385.885014648,415206.322646219,465334.065969431,382128.580816476,438652.236136444,416274.023292119,486361.238650354,371955.336110692,442402.209442288,505254.019034354,596063.154063879,399273.039623186,406024.493621317,393344.132729053,452678.376541158
"Gsr",134705.9865965,132596.36889131,115520.709590169,120766.62645998,130365.046284656,137861.039794492,132910.145825001,125767.701106566,95573.9373702377,117551.758708794,126628.562605841,144232.983913498,127477.053940798,130483.611342774,133860.775501088,109809.574976795
"Kiaa0319l",13353.5769990432,13325.9118750502,15719.7097161882,13145.7275560446,14404.4777967418,12547.2852523761,14105.4743093612,16047.213135357,14836.0885676167,13920.3875025732,12558.2835676185,13894.6323856896,14024.8660373973,14082.7843264177,13165.6438353974,16689.832075317
"Nisch",31132.7980607186,27221.8214010145,23597.7499272746,30151.3800918175,33793.6285806957,30626.594078803,25148.007119728,29435.7776083282,28868.2429220883,26206.8673265648,24201.8301709411,33472.441333624,30894.4669562028,28142.4692333753,25781.6450014015,30881.3664957199
"Mmrn2",11697.3608969365,11063.6780030044,7753.88156102345,13303.638823,9572.60473609485,9082.84637713915,9664.76419230463,13150.6839172605,11572.3762101178,11573.5626276497,9836.36216406032,14210.54643742,10162.2388988756,9793.54362440522,NA,16121.2512768493
"Dad1",196995.011655244,212475.568132607,282070.766642828,181796.862391755,253420.323087223,181843.200117854,245148.268881871,214268.018336904,216770.146308572,199876.116730845,206879.661683019,175812.941689547,197614.846088494,240591.655051539,286148.039589831,251162.335978676
"Ttyh1",114054.09928653,112510.724415111,149449.971865161,75341.6331310808,123840.510432143,98121.1099852589,131933.298343412,75775.2183032916,69557.0746260897,100673.719494823,110291.102870242,58480.2954151505,99125.5211331765,125027.594765081,160795.944357202,66167.9714614137
"Ociad1",82059.786361302,95083.6825901579,95490.6829265712,73165.9863673895,83640.2947167564,90555.5631626581,87784.7451925303,80885.3893031827,82912.8975244564,81690.0687243651,85276.7814446752,74668.4004244844,92013.9137811461,90784.0062642565,86330.0231014322,80984.6722808428
"Serpinb6",609543.278749159,505700.998143256,449909.21971425,701328.787167473,558794.712783963,566908.668979883,423638.319984738,575677.829939003,542368.334003048,507086.680464812,450966.253159442,627146.795189516,604754.572321243,448175.005923364,510879.819819507,557004.404287771
"Serpinb8",25918.7056854814,25812.2033884819,19130.3990677203,32949.466284942,29519.6746001986,26466.6629315985,19455.4843472163,24549.0659523014,26035.8215798762,24938.878809978,19947.5545708234,27475.5332084399,32761.316129825,20630.9176023575,19442.9281653889,25323.1352017524
"Acyp2",163875.801264481,157791.192439995,186416.904527032,149826.118500799,169457.133255057,167288.417211953,153690.752820437,151896.322732198,134216.17412795,167901.822593991,152340.069911824,134535.823450972,160030.199663136,151402.29352567,179999.97219449,151082.489460314
"Fkbp8",156695.345431978,180863.849522336,199729.986135487,157616.847880717,173869.755406143,209182.555256852,187206.294636401,181966.369275408,152501.46465372,132945.110239956,183982.924910746,175061.401340037,166078.301861631,183573.424815639,204583.723147696,158138.108746539
"Icam1",12753.4151901089,14134.3541437621,12632.164978634,10325.967560999,13738.2075985026,15725.9539611143,11987.0389372331,9274.28974541702,22254.2608762534,23076.3990169822,14956.4638484044,12020.8319213214,13620.9492926812,10640.0181358121,9182.72910799454,9217.33647155105
"Camsap1",19262.4349915924,14648.0734538602,12648.1431212188,18064.6316452933,16628.275404959,15226.9138643941,14501.5540673689,15137.4022943156,17978.2599679069,17339.6382294819,15582.4378325221,16535.5563161387,17932.8463660279,16331.2804533895,13601.95437729,16212.1666514303
"Sphk2",19407.3635959775,18691.4291295551,15674.6927358427,16692.353836641,20420.8660390492,20474.1289474361,18788.198879031,19096.2629983417,20938.1566462381,19380.459357967,18099.659383409,18158.9965449704,20696.3650084758,18361.5810222409,17509.1055690612,17856.3346905061
"Sms",23026.2756401813,18161.0179540064,17389.7058113766,22103.6788149534,22766.9339628585,18471.9831990086,17340.1755377804,16289.184835881,19581.5128795786,19492.8619960594,17427.6662967881,19852.9397062757,20238.4600866339,18429.0501439117,19760.8217749608,19971.6164139146
"Mfap4",20304.1744130021,16685.8488383017,14836.8439644832,15266.3179262475,19064.6099011625,19776.2245567314,19177.1547153988,12144.4958004549,17631.9367599208,16897.7368523778,39610.0085004878,24601.427640239,15402.8782642121,24695.2398322118,22476.307898448,11873.836183493
"Ranbp2",58080.9748735761,56503.5551248876,55271.7635199401,50469.6018001144,54515.2657781551,56536.0889304909,50917.6352010299,49413.4498161532,53466.2565054304,57342.4995383168,50849.1861370482,52072.8656210581,54930.3404843023,56648.4751765651,53362.509018886,47507.1560366098
"Cog7",43201.6418218633,43436.501673365,46078.6054519422,44275.9627226711,48578.8013966946,48616.5366283649,51913.7938063456,40695.26255118,42512.4047517291,44910.3780124126,44219.0334969677,43441.685948076,42154.3327364626,42849.5000330569,55173.9423991347,40541.3682630109
"Mrpl24",58483.3554659277,57150.8090526421,60814.2175268992,53460.3879481899,55766.7538096001,53141.9960761908,57332.9298560347,59206.2882108998,58299.6388417762,52234.5272561048,50726.9785784866,56348.4313964989,60825.8669751521,59582.5085525117,64657.1438623404,60776.5843634239
"Ca1",45541.0899834559,47395.7725074687,58025.1773400645,39119.2115575042,45766.7649505019,45389.4484817728,43406.3462995844,41647.013682936,71008.0580310885,77345.0996578151,52455.2093814513,52334.9547432768,48039.3954169109,41108.8141729969,53248.2836656712,41694.5267984016
"Sv2b",20272.5636888991,18972.6253672717,21850.0891718974,23985.8172882999,20315.7696243793,21408.5436383405,19112.9631076111,24004.7693001245,23198.2630814271,21593.2378852906,16264.6753916781,16932.0261595286,23773.5984674175,17800.0026070181,18312.6627506881,21269.5819528325
"Tbc1d10b",51879.1738826162,50954.8262247591,42614.2705704884,45680.9204102159,47453.4791067066,48468.5152100178,44291.3248807301,41224.2131928235,51406.9625168441,45391.677175066,44884.1042205562,47214.420253414,53188.5942617926,44958.2752406709,40401.5019021486,45270.7444195159
"Triobp",18505.5329406301,15313.8984662702,16068.481606326,18418.683251031,15896.1970873011,15354.9705690413,14872.9690857933,19110.0379285516,17774.1087982049,20021.3042601278,18399.4358425505,19591.9973986989,14523.434521166,16030.245221072,15400.7379722173,16777.9985194949
"Raver1",26625.9488038334,24784.7919371689,18933.828506578,45334.863525676,27369.8536468202,24492.7531118181,23227.8447657375,36410.1479852737,30706.0565159945,29445.1791645726,21799.1509046306,37166.8329817948,28569.7059842979,22257.9947314658,19709.4637334704,36140.4187234165
"Naa35",27874.2927308103,29153.9655679356,31241.4546765676,26517.0984167302,29451.2660800172,31709.7303271406,32309.8377804023,26482.3390452379,28987.5079173287,30023.1498551182,28404.7691874748,26298.96797001,31179.6761841419,27469.0217009939,33584.1508815779,26079.8643025634
"Dld",1020539.0888734,1054417.74700954,1245649.30104698,856013.252884235,1025763.41178947,1110195.4973131,1060586.18776713,962179.478492993,826119.345798069,997307.783708217,867647.358023957,972365.111096007,1052487.77981191,991370.225066254,1257615.43504949,781986.421797523
"Ret",47012.5129776926,35090.0607817591,30340.3574927157,69079.7822427811,54946.4256800174,41138.4078105435,34427.3576448156,66822.4613910665,52185.7418915048,35822.0701745982,29766.1444234338,67716.5800689495,60685.8550193368,41095.6404863351,34133.373981055,79424.2828575249
"Tmed1",11148.6030035883,15065.7214512869,15697.7638070876,12363.4060575538,12034.4787328786,17485.1583372368,20290.9792928304,17726.2305861285,13054.0543472818,16647.4373875281,14550.4531255081,18215.98484547,14466.0333181389,15788.8920364486,13608.0813383322,13875.7331738779
"Camk2b",27010.1020416956,34979.1016575171,36489.605184477,19723.8193127802,26044.9972008414,29243.5648481253,31482.1288349017,19709.2395245259,26164.4876065185,28910.6981090056,32954.1285614731,23141.8998716082,28894.9915892943,29780.3735799918,30940.2803946299,20819.6441779743
"Syncrip",257038.140507749,243598.117012524,215449.175521882,241672.63980494,229617.908790989,257035.396663969,247816.353573772,258494.168489369,233872.582856967,253871.343568715,286470.294109211,293310.338410013,247805.210875975,245419.982467795,230458.691884104,272953.945923003
"Rps8",801108.672412801,700199.524540162,740602.117197401,926449.996576497,781511.949164607,843302.604842596,812150.0147474,971198.004089299,622547.327513099,690216.550409713,837377.553109593,1035382.14364409,727950.430857234,728440.790130617,869759.326353901,829948.125027298
"Psmc6",246842.596959689,244431.89027329,246954.322449624,224741.61241154,270573.446513768,260302.648064749,242239.270247814,214958.338498126,198945.768827818,239816.861207455,222193.182137843,245447.33816079,249571.390566569,226853.235673305,261223.455294318,206094.038726041
"Hsp90ab1",3073803.58747934,2769289.87615221,2797804.49108666,2835490.80326335,2924157.73599848,3186414.56951984,3131627.49533743,2916440.53050429,2553543.68510611,2757985.668137,3100272.52136767,3370049.08399476,2874889.32187562,2913827.5735927,2993726.48273019,2903524.01334955
"Rpsa",761919.426704691,705012.993628192,782875.204494287,749937.790773148,717669.9298116,870054.219124015,795948.720463808,833872.025449934,611521.987210669,616873.134062418,787523.401019561,871169.943989256,645296.407767316,785980.502193294,843447.089238235,741476.737281009
"Farp2",104409.753825002,127902.373733437,127099.813401228,104983.34533927,102447.318836124,106329.093573845,130078.924257551,116425.049481215,114827.071389248,126821.479392768,125749.960082971,96897.4789499589,101557.667045377,115013.778680832,116610.776762986,105670.276709905
"Brox",135918.267473315,134997.77916746,118257.158877691,117547.367867628,126508.70566564,142991.993058227,123783.700797891,126923.190352479,126304.994963669,134491.81980827,120353.038576393,113917.143316483,124718.642454466,119467.074366154,112231.101504623,118339.204593753
"Htra1",259195.583967571,188062.088234205,172201.08838338,297358.131237361,240375.765753454,202844.822898104,150163.949941732,296402.020039543,245352.721481189,234061.496790605,155144.43818992,285595.144765253,264452.16754444,188235.881210488,150343.188811476,297740.975462515
"Map6",171492.52450039,136458.081935561,112266.944370249,198451.87247159,147028.344353725,131020.773471897,103242.478438337,190175.62147789,161740.224663454,134204.844070531,102642.989034929,181727.382583657,173795.023566615,118964.40767148,97454.1697164788,189477.113122291
"Otud4",28918.6076424348,25089.9067443253,26136.2856718815,26582.6983684737,28740.8532274188,28338.3228385822,27381.9832989675,27808.1010011974,24911.9849111675,29567.2962791975,29510.9996113763,29199.6181490585,26728.3620336313,28532.8147680925,27165.6390273486,27256.4877012143
"Snx7",37438.5695245379,37977.4533114273,31806.2412806328,34200.2807010425,36299.5181429321,36691.3046762354,35675.7122382184,31799.3257947831,34681.718621259,34712.7255315019,34267.0371958141,37328.9236104142,34918.0064723176,36382.6346922348,34559.910582335,39140.226481021
"Rps18",675501.704788853,745164.50841187,852511.436776162,859538.938677884,746308.597914232,883769.295155837,806114.310932667,988476.526190763,629016.212038755,713416.670147368,699282.316851353,931681.150560721,833106.027004123,654192.547143716,868803.887404719,845413.113244896
"Tm9sf2",204389.481676099,199366.508630352,206387.708605446,181437.573541259,202777.706905684,188829.216305742,194530.889831189,185554.903965536,144605.754531769,137568.84338757,182036.729183647,196918.444560424,165787.419934643,204260.549506252,213138.805276428,192576.640321159
"Eif2s1",257455.683854201,229904.942294354,218820.259756238,265877.43430477,254624.7371759,242334.488690945,226539.294317012,231440.845793478,214658.153292278,247403.559304284,229784.868013722,254450.227677085,243692.834760258,227757.34275559,242844.198965002,238440.465090557
"Abce1",129783.774264184,108636.652741614,101202.703444891,109473.196213546,124043.725245804,118219.065294,112081.572754879,109067.668909907,102399.220761625,113367.801456895,110300.953925207,129150.714067202,114271.488449067,114012.356410275,111098.834827255,112923.971061237
"Glg1",208403.070611986,229532.970736678,210992.315001585,197604.311905277,223452.225411216,232307.034861994,212835.512286287,264600.359446516,206641.295098883,185198.498667529,187756.928547084,255389.6753221,215599.679576231,233880.616670133,238920.135236554,245892.444427395
"Tmem260",12453.6344422685,15084.9853402533,15822.5742211516,12380.8036074947,13562.741409025,15180.1885740946,16053.8288553958,14576.5777871407,12973.8315194799,14732.7330846109,14242.8845738441,13954.8384966822,14323.0847695431,14104.5347923801,13993.9963721319,11672.6537593416
