"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007015","GO:0007015","actin filament organization","108/1393","359/9821",2.08789885064121e-15,6.24803731054382e-13,5.29254886284248e-13,"Dmtn/Add1/Sptan1/Cttn/Sptbn1/Coro1c/Fermt2/Add2/Sorbs1/Dpysl3/Avil/Pak2/Capzb/Washc2/Nebl/Zyx/Rufy3/Cdc42ep4/Nf2/Dbn1/Dbnl/Tmod1/Plec/Stmn1/Lcp1/Capza2/Capg/Pfn1/Pdlim1/Rac1/Dstn/Wdr1/Gsn/Arpc2/Tpm2/Tpm1/Actr2/Shtn1/Cfl1/Pls3/Cdc42/Abi1/Acta1/Arap1/Arf1/Arfgef1/Arfip2/Arhgap12/Arhgap17/Arhgap28/Arhgap35/Arhgef18/Arpc1b/Arpc5/Arpin/Baiap2l1/Bcar1/Bin1/Braf/Carmil2/Cd2ap/Clasp1/Clasp2/Coro1a/Coro1b/Coro7/Cracd/Diaph2/Eln/Enah/Fchsd1/Gas2/Hip1r/Jmy/Kank4/Marcks/Mical1/Mical3/Micall2/Mprip/Mtpn/Mtss1/Myo1e/Naa80/Nck1/Pacsin1/Pak1/Phactr1/Pick1/Pik3ca/Prkcd/Prkce/Prkcq/Ptk2b/Rdx/Rock2/S100a10/Samd14/Snx9/Synpo/Tmod2/Tmsb4x/Tsc1/Twf1/Twf2/Vasp/Wasf1/Wasl",108
"GO:0016197","GO:0016197","endosomal transport","72/1393","202/9821",1.00700262313534e-14,2.83619327033648e-12,2.40246508169689e-12,"Eps15l1/Coro1c/Spag9/Chmp4b/Eps15/Washc2/Arhgap1/Chmp2b/Ap3d1/Vcp/Ehd1/Snx2/Ube2o/Gripap1/Vps4b/Dctn1/Cltc/Snx12/Cdc42/Acap2/Arhgap44/Atp9a/Ccdc22/Chmp1a/Chmp3/Chmp5/Chmp7/Dennd1b/Dnm1l/Ehd3/Ehd4/Erc1/Gga1/Gga3/Grip1/Hgs/Inpp5f/Itsn1/Itsn2/Lamtor1/Leprot/Micall2/Mvb12a/Picalm/Pikfyve/Ptpn23/Rab11b/Rab6b/Rbsn/Reps1/Reps2/Snap25/Snf8/Snx1/Snx3/Snx6/Snx9/Stam/Tbc1d10b/Tbc1d17/Tbc1d5/Trappc10/Trarg1/Ubxn6/Vps16/Vps25/Vps26c/Vps36/Vps4a/Vti1b/Ykt6/Zfyve16",72
"GO:0000910","GO:0000910","cytokinesis","50/1393","124/9821",5.96609659160783e-13,1.19618034195807e-10,1.01325305754836e-10,"Sptbn1/Chmp4b/Ank3/Ist1/Septin5/Myh9/Calm1/Chmp2b/Plec/Stmn1/Septin9/Septin7/Dstn/Vps4b/Actr2/Cfl1/Exoc4/Cdc42/Arf1/Arl3/Birc6/Ccp110/Chmp1a/Chmp3/Chmp5/Chmp7/Dctn3/Exoc1/Exoc3/Exoc8/Fsd1/Git1/Kif3b/Pik3c3/Pik3r4/Pkn2/Prkce/Rock2/Rtkn/Septin3/Septin4/Sh3glb1/Snx9/Spast/Stambp/Stx2/Trim36/Usp8/Vps4a/Zfyve19",50
"GO:0043087","GO:0043087","regulation of GTPase activity","83/1393","267/9821",5.99589143838633e-13,1.19618034195807e-10,1.01325305754836e-10,"Coro1c/Fermt2/Arhgap1/Rabgap1l/Rap1gap2/Stmn1/Mapre2/Abr/Afdn/Agap1/Agap3/Amph/Arap1/Arfgef1/Arhgap12/Arhgap27/Arhgap35/Arhgap44/Arhgef7/Arl2/Arrb2/Asap1/Bcas3/Bcr/Bin1/Cblb/Crkl/Dab2ip/Dennd1b/Dgki/Dock11/Dock7/Dock9/Dvl3/Eif5/Gapvd1/Garnl3/Gnao1/Gsk3b/Iqsec1/Lims1/Map2k1/Mtss2/Myo9a/Nf1/Ocrl/Pafah1b1/Picalm/Prkg1/Ptk2b/Rab3gap1/Rab3gap2/Rabgap1/Ralbp1/Ralgapa1/Ralgps2/Rangap1/Rap1gap/Rap1gds1/Rapgef2/Rdx/Rgs7/Ripor1/S100a10/Sgsm1/Sh3bp4/Smcr8/Snx13/Snx9/Sod1/Sos1/Srgap2/Tbc1d10b/Tbc1d13/Tbc1d15/Tbc1d17/Tbc1d22a/Tbc1d5/Tbc1d8/Tbc1d9b/Tsc1/Wnk1/Zc3h15",83
"GO:0000226","GO:0000226","microtubule cytoskeleton organization","113/1393","414/9821",7.49116393989488e-13,1.43470771776867e-10,1.21530335412274e-10,"Map6/Mapt/Map1a/Map4/Nefl/Map1b/Chmp4b/Dync1li2/Tuba4a/Nefm/Prune1/Tppp3/Map2/Nefh/Map7d2/Map7d1/Dctn2/Myh9/Chmp2b/Crmp1/Vcp/Tuba1a/Dync1h1/Tubb3/Snca/Hsph1/Mapre1/Stmn1/Mapre2/Nudc/Tppp/Chordc1/Nsfl1c/Tubb4b/Rac1/Vps4b/Tubb5/Gapdh/Cfl1/Dctn1/Cltc/Tubal3/Abraxas2/Arhgef7/Arl2/Bcas3/Bicd1/Brsk2/Camsap1/Camsap2/Camsap3/Ccp110/Ccser2/Cdc42bpa/Cdkn1b/Chmp1a/Chmp5/Chmp7/Ckap5/Clasp1/Clasp2/Clip1/Clip2/Cnp/Cyld/Dclk2/Dctn6/Dnajb13/Dock7/Dst/Dync1li1/Eml1/Eml2/Eml4/Fgf13/Fkbp4/Fsd1/Git1/Gsk3b/Hdac6/Inpp5j/Katnal1/Katnb1/Kif2a/Kif3b/Llgl1/Lrrc49/Map7/Mapre3/Mark1/Mark2/Nav1/Nckap5l/Pafah1b1/Pak1/Pex14/Ppp1r12a/Prkaa1/Ralbp1/Ranbp1/Rock2/Slain2/Slk/Spast/Spryd4/Srgap2/Stmn2/Tacc1/Tacc2/Tbcd/Tbcel/Trim36/Ttl",113
"GO:1901880","GO:1901880","negative regulation of protein depolymerization","35/1393","71/9821",1.70843209336493e-12,3.05410334014676e-10,2.58705099801818e-10,"Map1a/Dmtn/Add1/Sptan1/Sptbn1/Map1b/Add2/Avil/Map2/Capzb/Tmod1/Capza2/Capg/Gsn/Arpc2/Tpm1/Cfl1/Camsap1/Camsap2/Camsap3/Carmil2/Clasp1/Clasp2/Cracd/Eml4/Fgf13/Hdac6/Katnb1/Mtpn/Pik3ca/Rdx/Stmn2/Tmod2/Twf1/Twf2",35
"GO:0072657","GO:0072657","protein localization to membrane","126/1393","496/9821",8.32795477135339e-12,1.34972565473802e-09,1.14331727294235e-09,"Palm/Dmtn/Sptbn1/Atp2b4/Epb41l3/Chmp4b/Ank3/Fermt2/Sorbs1/Anxa2/Stxbp1/Snap47/Hspa4/Ank2/Dbn1/Ap3d1/Pacs2/Ehd1/Cplx1/Nsf/Hsp90aa1/Kif5b/Rac1/Gsn/Gripap1/Arpc2/Exoc4/Cltc/Atad1/Gdi1/Naca/Adam22/Afdn/Ank1/Ap2b1/Appl1/Arhgap44/Arl3/Atp1b1/Braf/Cacnb1/Cacnb3/Camk2b/Camk2d/Camk2g/Clasp2/Clip1/Cnst/Crkl/Csk/Dchs1/Dennd4c/Dlg2/Efr3a/Efr3b/Ehd3/Ehd4/Fgf13/Flot1/Flot2/Gak/Gga1/Gga3/Git1/Golga4/Golph3/Gopc/Gorasp2/Gphn/Gpr158/Grip1/Gsk3b/Hgs/Kcnb2/Lztfl1/Map2k1/Map7/Mff/Nacad/Numb/Oga/Optn/Pacs1/Pacsin1/Pak1/Pals1/Pdcd5/Pex19/Pex5/Phaf1/Picalm/Pick1/Pikfyve/Rab11b/Rab15/Rab3a/Rab3c/Rab3gap1/Rab3gap2/Rabep1/Rabgef1/Rapgef2/Rdx/Reep1/Rock2/S100a10/Sh3glb1/Slc9a3r1/Snap25/Sqstm1/Srp68/Stac/Stac2/Stx1b/Stx7/Syne3/Sytl2/Trarg1/Tspan15/Ubl4a/Vamp7/Vps37a/Vps37c/Vps4a/Vti1b/Zdhhc5",126
"GO:0032886","GO:0032886","regulation of microtubule-based process","63/1393","187/9821",8.45692766126577e-12,1.34972565473802e-09,1.14331727294235e-09,"Map6/Mapt/Map1a/Igbp1/Map1b/Chmp4b/Prune1/Map2/Nefh/Anxa5/Chmp2b/Dync1h1/Snca/Hsph1/Mapre1/Stmn1/Mapre2/Tppp/Chordc1/Rac1/Vps4b/Dctn1/Cltc/Arhgef7/Arl2/Bicd1/Borcs5/Camsap1/Camsap2/Camsap3/Cdkn1b/Chmp1a/Chmp5/Chmp7/Ckap5/Clasp1/Clasp2/Clip1/Cyld/Dync1li1/Eml2/Eml4/Fgf13/Fkbp4/Fsd1/Git1/Gsk3b/Hdac6/Inpp5j/Katnb1/Mapre3/Mark2/Pafah1b1/Pak1/Prkaa1/Rock2/Slain2/Spryd4/Stmn2/Tacc1/Tacc2/Tbcd/Trim36",63
"GO:0043547","GO:0043547","positive regulation of GTPase activity","63/1393","190/9821",1.84764862717156e-11,2.68077018996891e-09,2.27081025853014e-09,"Coro1c/Fermt2/Rabgap1l/Rap1gap2/Mapre2/Abr/Afdn/Agap1/Agap3/Amph/Arap1/Arhgap27/Arhgap35/Arhgef7/Asap1/Bcas3/Bcr/Bin1/Crkl/Dennd1b/Dock11/Dock7/Dock9/Dvl3/Eif5/Garnl3/Gnao1/Gsk3b/Iqsec1/Lims1/Map2k1/Mtss2/Myo9a/Nf1/Picalm/Ptk2b/Rab3gap1/Rabgap1/Ralbp1/Ralgapa1/Ralgps2/Rangap1/Rap1gap/Rap1gds1/Rapgef2/Rgs7/S100a10/Sgsm1/Smcr8/Snx13/Snx9/Sos1/Srgap2/Tbc1d10b/Tbc1d13/Tbc1d15/Tbc1d17/Tbc1d22a/Tbc1d5/Tbc1d8/Tbc1d9b/Tsc1/Zc3h15",63
"GO:0031113","GO:0031113","regulation of microtubule polymerization","27/1393","49/9821",2.09892067866634e-11,2.9557741792513e-09,2.50375893959796e-09,"Mapt/Map1b/Prune1/Map2/Snca/Mapre1/Stmn1/Rac1/Dctn1/Arhgef7/Arl2/Camsap1/Camsap2/Camsap3/Cdkn1b/Ckap5/Clasp2/Clip1/Eml2/Fkbp4/Git1/Inpp5j/Mapre3/Pak1/Slain2/Stmn2/Tbcd",27
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity","58/1393","169/9821",2.4551190965147e-11,3.35860292403211e-09,2.84498462522441e-09,"Map4/Map1b/Map2/Hsp90ab1/Rufy3/Myh9/Mapre1/Hsp90aa1/Nsfl1c/Jam3/Pdlim1/Rac1/Wdr1/Gsn/Actr2/Shtn1/Cfl1/Msn/Exoc4/Dctn1/Cdc42/Aqp1/Arf4/Arfgef1/Arhgap35/Arpc5/Bcas3/Brsk2/Camsap3/Carmil2/Ckap5/Clasp1/Clasp2/Coro7/Crkl/Cyth1/Dlg2/Dock7/Dst/Fgf13/Flot2/Frmd4a/Golph3/Gsk3b/Ilk/Lims1/Llgl1/Mark2/Myo18a/Myo9a/Pafah1b1/Pak1/Pals1/Parva/Ptk2b/Slc9a3r1/Snap91/Stk25",58
"GO:0032970","GO:0032970","regulation of actin filament-based process","90/1393","321/9821",3.82406207953468e-11,4.57740230920301e-09,3.87739768222292e-09,"Dmtn/Add1/Sptan1/Cttn/Atp1a1/Sptbn1/Fermt2/Add2/Arhgdia/Avil/Pak2/Capzb/Washc2/Myh9/Cdc42ep4/Ank2/Nf2/Dbn1/Dbnl/Tmod1/Stmn1/Capza2/Capg/Pfn1/Jam3/Rac1/Dstn/Wdr1/Gsn/Arpc2/Tpm1/Cfl1/Cdc42/Akap13/Arap1/Arf1/Arfgef1/Arfip2/Arhgap17/Arhgap28/Arhgap35/Arhgap44/Arhgef18/Arpc1b/Arpc5/Arpin/Atp1a2/Baiap2l1/Bcas3/Bin1/Braf/Carmil2/Cd2ap/Clasp1/Clasp2/Coro1a/Coro1b/Cracd/Eln/Fchsd1/Fgf13/Hck/Hip1r/Ilk/Kank4/Mtpn/Mtss1/Naa80/Nck1/Pak1/Pick1/Pik3ca/Prkcd/Prkce/Prkcq/Ptk2b/Rdx/Rock2/Ryr2/S100a10/Snx9/Synpo/Tmod2/Tmsb4x/Tsc1/Twf1/Twf2/Vasp/Wasf1/Wasl",90
