Genes,log2FC(S2/P1),q value
JPT2,-0.017636047,0.548204361
PRUNE1,-0.018142418,0.636964407
HERC4,-0.018192563,0.600380418
CORO7,-0.018314727,0.622492752
PAICS,-0.018594056,0.621062989
HBG1,-0.01865268,0.82450403
NAP1L4,-0.018988662,0.40622168
TPM3,-0.019551157,0.438733043
C12orf29,-0.019903548,0.873815088
LY6D,-0.020142222,0.846091708
FDXR,-0.020168133,0.482837598
SERPINB7,-0.020266021,0.24248521
ZYG11B,-0.020299161,0.694823883
ATP6V1G1,-0.020342621,0.783642733
ECE1,-0.020413999,0.387609254
GGT5,-0.020587102,0.457634788
ANXA5,-0.02072382,0.326157043
S100A9,-0.020916384,0.841838665
RABEP1,-0.020962089,0.654940787
PDCL,-0.021161483,0.615152412
NCK1,-0.021181443,0.602418761
FAIM,-0.02121695,0.829119864
MRPL12,-0.02131797,0.771077069
ATP5F1C,-0.021899,0.330336472
MMP9,-0.021940156,0.863802735
RHOA,-0.022058253,0.587811226
CACHD1,-0.022239195,0.826303571
ATP5F1A,-0.022414013,0.104587531
CEP170,-0.022511289,0.666502898
CS,-0.022568759,0.308306078
SMPDL3B,-0.022810279,0.727628808
HDAC1,-0.022963693,0.398325899
TFRC,-0.023004593,0.407919934
ECM1,-0.02308164,0.676613972
LSM14A,-0.023152161,0.677569665
POLR1D,-0.023181654,0.816028976
HLA-DQB1,-0.023422909,0.742296485
NUBP1,-0.023462334,0.779801982
MYL6,-0.023526392,0.456172291
DCHS1,-0.02369298,0.650140436
ATPAF1,-0.023745504,0.796796916
PFDN6,-0.023930329,0.415758086
TSR2,-0.024050386,0.400691695
CAMK2D,-0.024206173,0.40602433
PHKG2,-0.024377395,0.417177775
TUBB,-0.024591436,0.39916962
IGHM,-0.024761093,0.776976891
GET3,-0.024793399,0.115908945
CXorf38,-0.025799703,0.25752458
BAX,-0.026044093,0.527232254
N6AMT1,-0.026148178,0.827779087
OVCA2,-0.026490349,0.456888346
MAP1A,-0.026607491,0.206570809
WDR5,-0.026797623,0.360934755
LAMP1,-0.026798835,0.086042362
FGD2,-0.026868044,0.692029794
ANK2,-0.026876524,0.537227913
TOR1AIP2,-0.026900961,0.809039824
CCPG1,-0.026911889,0.818457977
ACAA2,-0.027040559,0.383425017
DPP9,-0.027509492,0.457729682
EXOSC7,-0.027519952,0.624729071
HLA-E,-0.027619431,0.765588961
CRADD,-0.027709198,0.574423334
SPINT1,-0.027906173,0.283098792
TBCD,-0.027914274,0.261944434
IGLV9-49,-0.027952756,0.808366848
AK4,-0.028296581,0.445417961
PON3,-0.02832146,0.524750578
PRKN,-0.028407337,0.802037604
STX7,-0.02845756,0.444712461
VAT1,-0.028683507,0.35882812
CLNS1A,-0.028741647,0.676545824
PRKAR2A,-0.028982243,0.232707372
CARS1,-0.029014646,0.137635072
CEBPA,-0.029078238,0.717821135
LRP1,-0.029127544,0.326854044
MAN1A1,-0.029187225,0.724558533
EIF6,-0.029218886,0.434720672
UBE2I,-0.029251199,0.155309535
GNAO1,-0.02928318,0.463570679
UMPS,-0.029495913,0.298579358
SESN1,-0.029506604,0.741772156
IPO7,-0.029958914,0.262227052
ECHDC3,-0.030124784,0.4929795
XPO1,-0.0301495,0.186632975
OGDH,-0.030167602,0.128448559
RBM38,-0.030270287,0.658868936
CENPE,-0.030381346,0.821025364
LMCD1,-0.030561449,0.425091922
PSMD4,-0.030743457,0.475294825
CAT,-0.031051422,0.3637424
RARS1,-0.031467551,0.074234864
COX5B,-0.03159981,0.324791899
NUDCD1,-0.031697849,0.745752018
GDPGP1,-0.031822317,0.761416285
ZER1,-0.032248986,0.768790387
WDR62,-0.032668004,0.539172708
PLA2G4F,-0.032820694,0.015944061
TBCE,-0.032892249,0.461809777
TPD52L2,-0.033163618,0.135275591
CD44,-0.033378002,0.732703767
DDI2,-0.033452697,0.628327172
PGRMC1,-0.03350044,0.681022025
ZZEF1,-0.033528116,0.338687948
RAB1B,-0.033528769,0.423871308
ALCAM,-0.03356162,0.019716651
COPS7A,-0.033675759,0.453865378
DLST,-0.033757259,0.015543036
SAMD10,-0.034075701,0.716205212
EEF1B2,-0.034320094,0.131371238
CCT8,-0.034373669,0.056374692
FAT4,-0.034577017,0.83793594
IRF3,-0.034702415,0.618080702
THUMPD3,-0.034707458,0.30403731
NCAPD2,-0.03482776,0.746567664
CTPS2,-0.034891812,0.174695199
CCT5,-0.034935685,0.047949903
FAM25A;FAM25C;FAM25G,-0.034968951,0.670267669
NEU2,-0.035037651,0.33496137
S100P,-0.035568386,0.07129928
ZFYVE19,-0.035872101,0.524118247
XPOT,-0.036186296,0.407594799
SHTN1,-0.036358612,0.283770676
SSH3,-0.036501425,0.391526408
IPO9,-0.036682179,0.461025271
TPM2,-0.03677557,0.169102812
TBC1D22A,-0.036796594,0.153189372
PAOX,-0.036807493,0.744708182
UBE2M,-0.037058698,0.213309427
COPS2,-0.037377518,0.07156159
CCDC50,-0.037412837,0.358701771
TNPO1,-0.037531047,0.088552228
TARS1,-0.037570201,0.223192997
TNPO2,-0.037591291,0.188254798
DARS1,-0.037635885,0.020772653
IFT52,-0.037750558,0.576062368
CNST,-0.037880227,0.678002212
FRRS1,-0.037987962,0.014165983
SH3RF2,-0.038177674,0.599776569
ERH,-0.038470848,0.632387745
RPIA,-0.038612063,0.283911874
PTPRA,-0.039010422,0.063519107
POLR3E,-0.039095786,0.43683493
BABAM1,-0.039109821,0.649294917
SEPTIN6,-0.039184546,0.164145
ATP6V1E1,-0.039271064,0.162798006
PANK3,-0.03932407,0.753939717
PFKFB2,-0.039379456,0.338200886
AKAP2,-0.039408343,0.621062989
RPS27A,-0.039457797,0.112898622
VTN,-0.039465896,0.512880828
AIDA,-0.039473399,0.346001154
CD5L,-0.039502691,0.797710237
PTPRC,-0.039662097,0.132404307
PCBD1,-0.039669685,0.277515628
KCNAB2,-0.039746847,0.504559102
GYS1,-0.039883398,0.139188419
MRPL3,-0.040024575,0.625395449
CPVL,-0.040078738,0.229621388
UFD1,-0.040087952,0.139622448
CKMT2,-0.040119929,0.619490247
NME7,-0.040332735,0.282678378
PHGDH,-0.040654645,0.028925706
CLEC3B,-0.040746568,0.188711694
SNCA,-0.040871393,0.485469607
WDR44,-0.040876827,0.3214931
IGKV1-17,-0.040989469,0.669634019
ATP6V1D,-0.041011728,0.46389226
PDGFRB,-0.041088188,0.486337076
UBL7,-0.041154735,0.572560529
UCK2,-0.041435389,0.335373876
RPL26L1,-0.041535638,0.590738236
PSMF1,-0.041761967,0.310156609
TRMT112,-0.041813457,0.122718874
ITFG2,-0.042417543,0.742901755
HS1BP3,-0.042444394,0.332863475
LZTFL1,-0.04275666,0.621896214
HSPBP1,-0.042785043,0.289168182
ITGA1,-0.042874299,0.4395704
CHORDC1,-0.042999407,0.557122577
DGKH,-0.043182059,0.844477578
EPM2AIP1,-0.043204801,0.329164692
VCP,-0.043236442,0.010055404
ATXN10,-0.043263062,0.104115359
URB1,-0.043396512,0.549778343
LIMD1,-0.043451165,0.561102638
KPTN,-0.043527865,0.463060579
DCUN1D1,-0.043586247,0.109776884
ARHGAP18,-0.043679347,0.360974192
NSUN2,-0.043728163,0.012459234
PRMT3,-0.043771773,0.643288591
PSMB9,-0.043777054,0.164508089
MMS19,-0.044080899,0.38746012
MED4,-0.044328388,0.465571663
CERT1,-0.044352075,0.169085608
CTSD,-0.044370011,0.153416107
RAPGEF2,-0.044392011,0.589623639
JMJD4,-0.044774545,0.466685386
STX3,-0.044943643,0.499524717
EPS8,-0.044952371,0.595478583
MCM2,-0.04504761,0.095465233
ABCA8,-0.045205164,0.313252685
HLA-DRB5,-0.045280214,0.293297345
RPS21,-0.045506736,0.34293064
USP47,-0.045806408,0.079535178
POLDIP2,-0.045880208,0.208834052
SARM1,-0.045890413,0.437097748
CALD1,-0.045981629,0.056893863
C1orf198,-0.046002471,0.281464976
RABEP2,-0.046163743,0.275070081
NRAS,-0.046174155,0.031171891
ACOX3,-0.046212683,0.270553409
MEMO1,-0.046340661,0.036807187
VARS2,-0.046487278,0.426079805
ANG,-0.046525271,0.161496398
CRABP2,-0.046543398,0.245692781
SDHB,-0.046617222,0.046762618
TNS1,-0.046826042,0.05441185
PSMC2,-0.047185119,0.025322326
TUFM,-0.047230349,0.012315072
TCF12;TCF4,-0.04737513,0.587635923
CAND1,-0.047383328,0.019330004
KLHL42,-0.047462524,0.536493067
PSMC6,-0.047537631,0.011368489
GTPBP3,-0.047543998,0.189097744
SLC44A1,-0.047571367,0.138483294
VPS54,-0.047573973,0.69017659
MBNL3,-0.047993842,0.402302369
SIRT2,-0.04816516,0.203425872
NDRG3,-0.048245981,0.420128069
NLRC3,-0.048381729,0.261477764
HBA2,-0.048557903,0.248313086
MYCBP2,-0.048620462,0.054927746
STK38L,-0.048687822,0.17567235
COPS7B,-0.04878732,0.430158236
HBD,-0.048911991,0.362282833
DDX39B,-0.048973115,0.252141795
ARHGEF6,-0.04914515,0.251285896
CCNT2,-0.049186652,0.447675271
LYNX1;SLURP2,-0.049292406,0.588389611
PSMC1,-0.049434663,0.006023795
ASDURF,-0.049462713,0.153416107
IKBKG,-0.049575145,0.283437438
KARS1,-0.049625005,0.041889926
EPB41L3,-0.049713378,0.081231734
ANKRD44,-0.049940654,0.343686621
ARG1,-0.050013886,0.411423726
ITGA5,-0.050072223,0.269676882
YES1,-0.050282537,0.026221553
XPO5,-0.050724385,0.281766326
PPP6R1,-0.050746475,0.674168986
TRMT1,-0.050770995,0.494885393
COPE,-0.05077945,0.127599166
CRABP1,-0.050853093,0.523611619
CARM1,-0.050944482,0.225541242
GNAI1,-0.050990189,0.142193945
NDUFS6,-0.051145488,0.355131132
MKLN1,-0.05178039,0.393476825
PLCG2,-0.051799528,0.119934469
CARNMT1,-0.052234927,0.594742579
RGS19,-0.052698747,0.152725465
GABARAP,-0.052733458,0.311955844
IGHV3-72,-0.052742666,0.666592039
ALDH16A1,-0.052809226,0.104464868
TIMELESS,-0.052812649,0.795125232
UNC13B,-0.052873664,0.552881031
PSMD1,-0.052889135,0.036921945
MKNK1,-0.052894428,0.685691887
DCLK1,-0.053021274,0.287513322
ZYX,-0.053065007,0.229705732
UBQLN2,-0.053069351,0.017409513
AARS2,-0.053304866,0.002056901
PIBF1,-0.053414778,0.482173047
IPO11,-0.053490737,0.34372965
CORO2B,-0.053616616,0.287083307
C5,-0.053647217,0.513499467
UCHL5,-0.05379721,0.177740091
ADCK2,-0.053835141,0.639231462
PARN,-0.053845326,0.494428262
ARIH1,-0.053885321,0.01015317
PSMC4,-0.054161176,0.015970579
CKMT1B,-0.054183004,0.240758265
COPS6,-0.054257803,0.017593567
MED9,-0.054334455,0.59641273
MAPT,-0.05441926,0.238478652
PSMD2,-0.054551516,0.007642552
SETD7,-0.054682899,0.519523792
LY75,-0.054732641,0.548204361
HEBP1,-0.054779632,0.38740136
RHOG,-0.054862296,0.266586164
RUVBL2,-0.054920007,0.013177961
NPL,-0.055059282,0.425544154
ADRM1,-0.055118089,0.020898672
APPL1,-0.055237899,0.098138319
PSMC5,-0.055239373,0.004459128
IPO4,-0.05531986,0.188068658
MCM4,-0.055329646,0.219457591
LBP,-0.055337393,0.462409479
TRIM47,-0.055361391,0.08684564
SRA1,-0.055469324,0.150362076
MEAK7,-0.055730296,0.13695762
TMEM254,-0.055875914,0.639231462
SLC9A3R2,-0.056011948,0.233613814
WDR77,-0.056088127,0.104043725
ADD1,-0.056521142,0.105904036
DIS3L,-0.056588767,0.059841971
TRAPPC4,-0.056872126,0.121914439
INPP5B,-0.056958363,0.183865372
DAZAP1,-0.057030555,0.154641812
TRPV2,-0.057350524,0.327513
LAMP2,-0.057382398,0.332694179
CCNY,-0.057450355,0.093651666
RPA3,-0.057670859,0.076249288
B3GNT2,-0.057749635,0.625519092
SYAP1,-0.058023484,0.154994833
HGH1,-0.058075249,0.412986889
YBX3,-0.058102422,0.134200555
ITGB1,-0.058216435,0.039363406
UBE2Z,-0.058305083,0.37052498
MCM6,-0.058356549,0.06925956
RAP1A;RAP1B,-0.058382665,0.011662442
MAU2,-0.058501748,0.475636019
LSP1,-0.058748416,0.226991371
GCC1,-0.058794888,0.038433996
TTC1,-0.058810238,0.141983615
ALKBH8,-0.058826411,0.322182295
DSG2,-0.058930494,0.123876572
PRPF40A,-0.059144364,0.314143114
DDX58,-0.059150706,0.002854743
NFKBIA,-0.05925573,0.427731556
MCCC1,-0.059262105,0.179628547
PUS1,-0.059269187,0.481710553
WDTC1,-0.059314176,0.608782434
BCAM,-0.059337301,0.399498585
SGSH,-0.059346421,0.035374453
NUDCD3,-0.059379261,0.060873238
PCID2,-0.059386567,0.036299757
VPS26A,-0.059411842,0.088794814
DNAJB11,-0.059538668,0.042874318
MARS1,-0.059644865,0.004791707
SNAP23,-0.059730806,0.08844145
ITGA7,-0.059965519,0.29513088
EPN3,-0.059968244,0.678607188
LARS1,-0.060014616,0.002810151
PLD3,-0.060107104,0.030809416
CERCAM,-0.060150514,0.444712461
TUBA1B,-0.060427366,0.010677763
AK3,-0.060518691,0.075382627
PSMD8,-0.060612618,0.009795619
SAA1,-0.060717193,0.740672115
FAF1,-0.060832798,0.00551371
RAB1A,-0.060912626,0.591355003
CORO1A,-0.060981655,0.12049359
ITGAV,-0.061024204,0.020007307
GPLD1,-0.061044587,0.283098792
MAPK3,-0.06114502,0.129944026
MYL12A;MYL12B,-0.061149075,0.298475955
SNX18,-0.061359915,0.095645975
TXNDC9,-0.061363953,0.268852509
CYP7B1,-0.061491806,0.389040403
CREB1,-0.061619592,0.046723192
CD44,-0.061844213,0.014100452
TOR1AIP2,-0.061912604,0.172631896
FRY,-0.062137092,0.249603261
STAM2,-0.062203335,0.236310926
EFNA1,-0.062232892,0.366805543
VGLL4,-0.062825712,0.273169553
N4BP1,-0.062920609,0.134264601
ARHGAP1,-0.063001134,0.208865947
USP4,-0.063046357,0.04802002
UBFD1,-0.063330018,0.653248255
ITGA4,-0.063340643,0.354555953
HLA-DPA1,-0.063427096,0.405702908
ITGAM,-0.063477062,0.359016937
FTH1,-0.063501188,0.011094939
MAP2K6,-0.063725463,0.256109526
GRWD1,-0.06396206,0.304874468
KLKB1,-0.064016977,0.373603486
KPNA4,-0.064122537,0.154994833
BANF1,-0.064149143,0.018181991
IGFALS,-0.064205842,0.411423726
CD248,-0.064319504,0.391231137
PXMP2,-0.064377956,0.745201483
UGGT1,-0.064589445,0.009192599
CTDP1,-0.064666463,0.627979467
ATP5ME,-0.064762516,0.283698384
B4GALT1,-0.064767191,0.189112073
HOMER1,-0.064801233,0.334055007
ESS2,-0.065118726,0.714915159
HSD17B10,-0.0651614,0.079215243
PRMT9,-0.065178027,0.015831067
TMEM263,-0.065284482,0.426729025
AGTR1,-0.065366575,0.318485414
IPO5,-0.065405559,0.04544188
C1orf21,-0.065412302,0.353357221
SIAE,-0.066155946,0.030007808
AOX1,-0.066279733,0.122721748
RPSA,-0.066316132,0.031054064
TUBB6,-0.066325128,0.072025171
EPHB4,-0.066831121,0.297967413
RAB35,-0.066832274,0.014830839
RACK1,-0.066845627,0.009776797
STK4,-0.066876862,0.186140317
ATP6V0D2,-0.066988445,0.236410626
PCDH7,-0.06714125,0.286585617
SPINK5,-0.067333785,0.041468011
APOE,-0.067481953,0.122949795
DUSP3,-0.067523878,0.223734443
DMTN,-0.067586419,0.265145914
KIAA1109,-0.068123689,0.330116981
FYN,-0.068246505,0.065157545
PARP10,-0.068560294,0.334509119
PTK7,-0.068770214,0.01845942
UBE3A,-0.068813844,0.014666045
GFM1,-0.06882485,0.033931938
EEA1,-0.068879585,0.090756097
FAM114A1,-0.06893669,0.127128311
KCTD12,-0.06898742,0.161307742
AHSA1,-0.069021564,0.106628181
ADD3,-0.069085812,0.133886766
GNPNAT1,-0.069175159,0.071220167
TPD52L1,-0.069176675,0.151166971
UBR2,-0.069193581,0.131395506
COL6A5,-0.069318909,0.254401653
PDZD11,-0.069429092,0.117339855
PSMD7,-0.069445374,0.005858351
COQ3,-0.069449129,0.253706862
OGT,-0.06946611,0.017879104
REL,-0.069468482,0.075180358
CRPPA,-0.0694795,0.253578592
TRIM16,-0.06949718,0.002058301
PPP1CB,-0.069510037,0.017019909
MICAL1,-0.069550266,0.119594034
ELAC2,-0.069692166,0.202561026
NOP10,-0.070067894,0.545795319
NRDE2,-0.070441775,0.210651341
MOB1A;MOB1B,-0.070650679,0.12356815
BCL10,-0.07068935,0.343267983
GLT8D1,-0.070693461,0.159632306
DCAF16,-0.070752515,0.047364583
P4HA2,-0.070834714,0.122698938
HNRNPF,-0.071063696,0.127637127
FLII,-0.071200056,0.332694179
VCAN,-0.071249735,0.029437507
C5orf22,-0.071284614,0.430880406
NRP1,-0.071423622,0.119290622
TSPYL1,-0.071514621,0.261023894
RP2,-0.071575641,0.018055053
GLMN,-0.071651563,0.048966508
EIF4E3,-0.071809064,0.242150026
UBAC1,-0.071864383,0.15183945
GPNMB,-0.071870697,0.07114279
FBXO45,-0.071883523,0.113450591
MAFF,-0.072069728,0.23901048
EPHX1,-0.072073365,0.032487612
KCTD1;KCTD21,-0.072074905,0.065056399
LAMTOR1,-0.072414812,0.052223081
ICAM3,-0.072460392,0.038191306
UBE2D2;UBE2D3,-0.07259067,0.079549799
SAMHD1,-0.072797272,0.025581906
SLC3A2,-0.072908042,0.039888175
TRAPPC6B,-0.07293682,0.044018555
PLS1,-0.073004426,0.318607194
PAK2,-0.073084851,0.079519644
SLC16A1,-0.073110858,0.425544154
SEC24D,-0.073199375,0.093768325
SYNPO2,-0.073321191,0.025970187
RUVBL1,-0.073324209,0.010814474
SLC9A1,-0.073510139,0.020958053
PRRC1,-0.073532765,0.403401273
NEDD4,-0.073589786,0.174378494
ABHD11,-0.073801209,0.051210361
ANO1,-0.073879861,0.13297849
GTPBP1,-0.074175546,0.012913972
HCK,-0.074188264,0.023873146
CYHR1,-0.074212657,0.100370316
SNX12,-0.074231535,0.046667918
TRAF6,-0.074240859,0.036963993
GXYLT1,-0.074334616,0.336034171
F5,-0.074431222,0.204211638
PSMD3,-0.074440191,0.008889717
VTA1,-0.074540691,0.146472077
FGD4,-0.074654021,0.246617705
SRR,-0.074754945,0.437097748
SERPINF1,-0.074765828,0.20988091
TRUB1,-0.075364452,0.024062199
PLIN3,-0.075426142,0.016857427
LONP1,-0.075598108,0.007253354
CFAP20,-0.076450252,0.077402172
CLCA2,-0.076786005,0.051616238
EIF4B,-0.076797616,0.035935474
DENND10,-0.077138614,0.022749005
CRMP1,-0.077256734,0.464026722
COMMD10,-0.077257863,0.019166507
SPAG9,-0.077438674,0.01145355
FKBP2,-0.077514191,0.012510243
ACBD3,-0.077561643,0.134244256
STXBP2,-0.077652856,0.069529324
GTF2H3,-0.077740486,0.196443835
TOM1,-0.077929247,0.05056957
ENDOD1,-0.078042402,0.006404173
ZNF25,-0.078168334,0.348566602
NPTN,-0.078306418,0.009355009
TJP1,-0.078625004,0.316821963
TUBB4B,-0.078636781,0.001732754
PPP2R5D,-0.078847249,0.023856808
BTN3A1,-0.078872406,0.515611323
GNB1;GNB2,-0.079010535,0.001221832
CNN3,-0.079233355,0.05948787
SAAL1,-0.079312661,0.271631994
PRKACA,-0.079335192,0.052845915
RPA2,-0.079627803,0.036629911
RPLP2,-0.079699346,0.091654818
ARFIP1,-0.079703513,0.003765314
PPID,-0.079741637,0.108707898
PLTP,-0.079830757,0.405083092
UBXN7,-0.079955095,0.097022484
IRAK4,-0.079976797,0.200434474
RO60,-0.080005526,0.003321055
EPB41L1,-0.08002698,0.048264694
ACBD6,-0.080032252,0.430968483
BTBD9,-0.080135225,0.439227469
CDKN1B,-0.080600725,0.272454873
PSMD6,-0.080616483,0.01030137
KLC1,-0.08063022,0.061257397
CLP1,-0.080881625,0.000579366
F13A1,-0.0809515,0.030036993
TIAM1,-0.080978436,0.077552669
OLA1,-0.081126147,0.000890659
IPO13,-0.081160319,0.122527881
ISG20L2,-0.081306893,0.406845281
RAB4A,-0.081346645,0.011902472
DMKN,-0.081455085,0.029634165
APOD,-0.081503162,0.132840336
RAB9A,-0.08152754,0.112392757
NFRKB,-0.081756966,0.095447673
NOL3,-0.081833572,0.173930897
ABCA6,-0.082002102,0.222725623
ITGB5,-0.082235624,0.04887433
RAB31,-0.082360374,0.13856051
TMEM79,-0.082370515,0.353225269
PDPK1,-0.082462699,0.009078553
HLA-DRB3,-0.082481721,0.0871256
YBX3,-0.082546882,0.008227971
PLEKHH3,-0.082673115,0.245980866
P4HA1,-0.082687097,0.006606648
CCT6A,-0.082711598,0.000990264
RWDD1,-0.082830482,0.115660648
RNPC3,-0.082872519,0.608431434
TRADD,-0.082905952,0.116275301
UBE4B,-0.083001924,0.033066905
FGD3,-0.083117767,0.18449856
DPF2,-0.08318232,0.056274057
ITSN1,-0.083205062,0.003168092
UBE2N,-0.083339966,0.048500251
HSP90B1,-0.08367013,0.001583977
MMP2,-0.083713346,0.100888313
WDR47,-0.083833115,0.115988836
HARS1,-0.083859035,0.0126174
MMUT,-0.084024206,0.020415461
DDX19B,-0.084142893,0.423205337
AHCYL2,-0.084384271,0.030641649
NCK2,-0.085056763,0.037518106
IL18R1,-0.085073634,0.065703813
SEPTIN3,-0.085376114,0.239131763
CIAO2B,-0.085524267,0.349087218
APBA1,-0.085582725,0.411616357
PRKCI,-0.085635002,0.37556195
GIPC3,-0.085775177,0.209267705
RAB32,-0.085803226,0.029568836
DGKB,-0.085974736,0.651646776
EPS15,-0.085990572,0.06331862
RMDN1,-0.086139954,0.03707753
INPP4B,-0.086259109,0.033949377
TYRP1,-0.086314301,0.223734443
LARS2,-0.086496781,0.035403355
STON1,-0.086534687,0.212500938
AP3S1,-0.08666268,0.441114443
DPYSL4,-0.086665199,0.435637816
PDP1,-0.086716623,0.029989247
CAMK1,-0.08700053,0.50166718
HTRA2,-0.087023869,0.091147129
WDR91,-0.087130809,0.007015768
TNS1,-0.087160632,0.051588675
DYNC1I2,-0.087174307,0.084331113
ARL6,-0.087326037,0.523566649
LYSMD1,-0.087390628,0.094259956
PIKFYVE,-0.087406209,0.149347057
TBP,-0.08740801,0.19932873
RAB7A,-0.087457052,0.008390429
SNX5,-0.087973284,0.002185792
TMEM161B,-0.08799423,0.198828273
ACTR1B,-0.087996413,0.609950418
PLAA,-0.088093653,0.012315072
UHRF1BP1L,-0.088238477,0.348174872
AP4S1,-0.088284122,0.046972205
IL1R2,-0.08876749,0.06568909
TCP1,-0.088814408,0.001243686
NXT2,-0.088960311,0.46777583
CCDC97,-0.089102018,0.394640541
DNM1,-0.089102171,0.036740939
FLOT2,-0.089145306,0.022010391
HSPA14,-0.089197731,0.126723674
PRMT5,-0.089256969,0.007074285
VPS4B,-0.089385794,0.066366392
IPO8,-0.089393089,0.079444906
NDUFS1,-0.089403977,0.003649535
PLIN4,-0.089548067,0.253297262
RABGAP1,-0.089551513,0.06041865
DERA,-0.089553667,0.003519404
ACSS3,-0.089670469,0.307965086
GGH,-0.089807273,0.007401279
FBXO27,-0.089869019,0.406240806
PSMD11,-0.089948096,0.00187065
RPS6KA5,-0.089963223,0.078751634
IRF6,-0.089985796,0.051009752
VWF,-0.090163835,0.063132726
PIK3R1,-0.090173744,0.253984077
MACF1,-0.090216585,0.273110582
GLUD1,-0.090235331,0.000224572
PIP4K2A,-0.090366131,0.375941059
KDM4B,-0.090416385,0.347839707
ARF1,-0.090426268,0.064886292
PHLDB1,-0.090573918,0.208887022
RARS2,-0.090596991,0.06399884
OXR1,-0.090685952,0.014207014
GLS,-0.090747673,0.106061217
PSMA5,-0.090806351,0.043277403
PSMD13,-0.090863461,0.009487704
JMJD6,-0.09094183,0.210474722
FGA,-0.091019963,0.095125943
UBOX5,-0.091297597,0.094760081
TPPP3,-0.091543644,0.038245538
PPIC,-0.091562039,0.149592268
PUS7,-0.091573255,0.036158127
GNA11,-0.091605609,0.007642552
HLA-DRB1,-0.091729212,0.141619729
LIMA1,-0.091815951,0.022129725
NDUFA2,-0.09185676,0.035273791
MCM3,-0.091957442,0.005226386
ARF4,-0.092252558,0.166665965
CCT3,-0.092253827,0.003321055
PNPLA7,-0.092350362,0.578156028
HMGA1,-0.092380046,0.21281538
SRC,-0.09247729,0.018295395
USP25,-0.092510406,0.046667651
HNRNPAB,-0.092721688,0.006404173
ASB1,-0.092790257,0.211985857
ASCC2,-0.092890478,0.089553034
BIN1,-0.093058695,0.453505288
CSTF1,-0.093068482,0.000768946
NIBAN1,-0.093104482,0.013177961
GEMIN5,-0.09316756,0.004276238
CORO1B,-0.093255574,0.040763569
NCF2,-0.093272528,0.255681291
RIOK2,-0.093350561,0.335799657
MYL9,-0.093403287,0.013614785
NSUN6,-0.093416243,0.119068073
GPR155,-0.093434872,0.131853406
MPZL1,-0.093537919,0.149592613
MCM7,-0.093717866,0.025026645
BSG,-0.0938271,0.017070378
DNAJB2,-0.093833133,0.014836968
CCT7,-0.093891216,0.000403675
HLA-A,-0.093915885,0.367042837
FAT2,-0.093916547,0.008002453
ACSF3,-0.09396904,0.118202071
C2CD5,-0.094133353,0.103593797
SP100,-0.094565314,0.021881875
ADAM17,-0.094819961,0.001323647
EEF2,-0.095031956,0.010549707
PCDHB3,-0.095135778,0.477289694
CSRP1,-0.095162196,0.013093332
DAB2,-0.095177059,0.195329855
ATG101,-0.095179561,0.066366392
NACA,-0.095596965,0.011445261
AP2A2,-0.095608765,0.002894091
COX5A,-0.095621719,0.51474675
TNFAIP2,-0.095676955,0.066087768
EMILIN2,-0.095749192,0.303896791
MTHFD1,-0.095789252,0.000602543
TYW1,-0.095810473,0.379022389
EIF3G,-0.095815573,0.008053508
FLOT1,-0.096067535,0.004244153
WASHC2C,-0.096074508,0.018176377
GIPC1,-0.096522668,0.072520187
DLAT,-0.096531198,0.000703358
DRG2,-0.096557144,0.017306493
HINT3,-0.096739903,0.006335554
EIF3J,-0.096777583,0.183248397
HLA-A,-0.096798674,0.071408188
TLR3,-0.096878405,0.031431467
NES,-0.096934579,0.343566604
EML1,-0.097044747,0.012560157
ACTN1,-0.097046147,0.013621852
USP7,-0.097080917,0.007957616
OXSR1,-0.097150015,0.097624238
SWAP70,-0.097195842,0.013984511
MEF2A,-0.09726957,0.107268435
ARF5,-0.097279359,0.138591018
RNASEH2B,-0.097344174,0.014355272
POLR1C,-0.097406154,0.001962892
CHMP3,-0.097478208,0.020007307
SDCBP,-0.097576335,0.049928162
MSN,-0.097661557,0.009720339
ANXA11,-0.097912228,0.001206275
AP1B1,-0.09801286,0.004984766
PAFAH2,-0.09805001,0.083627254
PPP1R12C,-0.098068819,0.433936674
WDR20,-0.098076887,0.164628465
DCTN2,-0.098283271,0.00139019
NSMAF,-0.098317007,0.236124521
SNAP29,-0.098375151,0.104900861
PTPN11,-0.098377375,0.049393987
S100A4,-0.098493792,0.043862701
SYNM,-0.098623884,0.007207231
MCFD2,-0.098644856,0.251995389
SNX27,-0.098677298,0.062881717
CCDC91,-0.098685611,0.034471898
IARS1,-0.098701068,0.004157897
KPNB1,-0.098735522,0.000275964
ARRB1,-0.098912006,0.057290643
ME3,-0.098917955,0.026361581
AIMP1,-0.099169938,0.001405274
GTPBP2,-0.09917891,0.240020117
CCT2,-0.099188304,0.001390043
PSMB6,-0.09921259,0.02819639
CUL2,-0.099227563,0.002574022
ROBO1,-0.099366359,0.041210922
TSPAN8,-0.099581547,0.311977085
FHL1,-0.09979132,0.052625034
RNF214,-0.099928029,0.155575103
NUBPL,-0.100034822,0.261946116
GPHN,-0.100073405,0.041987848
CLTC,-0.100275493,0.000941103
LACTB,-0.100389048,0.108576632
SNRPF,-0.100472193,0.073163385
SHC1,-0.100693254,0.0379951
MRPS30,-0.100757992,0.214318959
DCAF8,-0.100802251,0.145797094
