Protein.Ids,Gene_Symbol,First.Protein.Description,log2FC,log2.protein.intensity,P_value,Adjusted_P_value,Condition
E9PXF8,Sbf2,Myotubularin-related protein 13,0.4688322763,20.86968815,0.0002744231102,0.006770283699,Not_sig
E9PYK3,Parp4,Protein mono-ADP-ribosyltransferase PARP4,-0.1459864929,18.68205197,0.3956719293,0.541825393,Not_sig
E9PZQ0,Ryr1,Ryanodine receptor 1,1.719559978,21.00570951,0.003520173957,0.02636667102,Up
E9Q137,Tex264,Testis-expressed protein 264 homolog,0.2333101172,19.83254606,0.08843024544,0.2012840825,Not_sig
E9Q3L2,Pi4ka,Phosphatidylinositol 4-kinase alpha,0.1631743398,19.94347814,0.1318376294,0.2612431118,Not_sig
E9Q414,Apob,Apolipoprotein B-100,0.9081504556,19.80233612,0.001945951488,0.01814955729,Up
E9Q4Z2,Acacb,Acetyl-CoA carboxylase 2,0.9418629666,16.28258226,0.02616018199,0.09236983926,Not_sig
E9Q555,Rnf213,E3 ubiquitin-protein ligase RNF213,0.2809308766,17.45607454,0.4646007866,0.6047084438,Not_sig
E9Q634,Myo1e,Unconventional myosin-Ie,0.1079882957,20.36950475,0.3011047992,0.4491477197,Not_sig
E9Q6P5,Ttc7b,Tetratricopeptide repeat protein 7B,0.8353030664,16.87543444,0.008478372491,0.04469275846,Up
E9Q735,Ube4a,Ubiquitin conjugation factor E4 A,0.09267544345,19.89171663,0.3222849315,0.4702736455,Not_sig
E9Q7G0,Numa1,Nuclear mitotic apparatus protein 1,-0.245380618,20.72335068,0.03780716913,0.1164984809,Not_sig
E9Q7T7,Chadl,Chondroadherin-like protein,-1.458975776,17.27849532,0.03184196418,0.1048782696,Not_sig
E9Q8I9,Fry,Protein furry homolog,-0.008858907965,18.26324046,0.9539929246,0.9728710441,Not_sig
F6W8I0,Yjefn3,YjeF N-terminal domain-containing protein 3,0.6562994352,20.75815625,0.02515502877,0.09040679514,Not_sig
F6ZDS4,Tpr,Nucleoprotein TPR,-0.2686948352,20.70667134,0.01323667873,0.05838184485,Not_sig
F7BWT7,Tspan15,Tetraspanin-15,0.4073401403,21.66333713,0.01114203202,0.05247183552,Not_sig
G3X9K3,Arfgef1,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,0.05675078698,18.74965181,0.7333045822,0.8284067127,Not_sig
G5E829,Atp2b1,Plasma membrane calcium-transporting ATPase 1,0.1061017361,22.21369168,0.1800221299,0.3213840452,Not_sig
G5E897,Poglut3,Protein O-glucosyltransferase 3,0.005851280861,19.17104981,0.9739530784,0.9843394515,Not_sig
G5E8K5,Ank3,Ankyrin-3,0.3344452633,22.29744824,0.008324537012,0.04409006861,Not_sig
O08528,Hk2,Hexokinase-2,0.8409396979,20.16549241,0.005885762007,0.03484079554,Up
O08529,Capn2,Calpain-2 catalytic subunit,0.155906656,24.31858479,0.07946977541,0.1886358915,Not_sig
O08532,Cacna2d1,Voltage-dependent calcium channel subunit alpha-2/delta-1,0.555588704,21.54739457,0.0002980025913,0.007129599612,Not_sig
O08539,Bin1,Myc box-dependent-interacting protein 1,0.2480993472,24.17828012,0.06843570123,0.1713805642,Not_sig
O08547,Sec22b,Vesicle-trafficking protein SEC22b,-0.3201043607,22.97431703,0.002749747788,0.02242011842,Not_sig
O08553,Dpysl2,Dihydropyrimidinase-related protein 2,-0.03252635446,26.51248816,0.777963226,0.8563417893,Not_sig
O08573,Lgals9,Galectin-9,-0.772410536,19.90996795,0.002089544776,0.01920773852,Down
O08576,Rundc3a,RUN domain-containing protein 3A,0.196202036,19.47611566,0.1344117227,0.2641266328,Not_sig
O08579,Emd,Emerin,-0.2266851214,19.63214485,0.1042734813,0.2237608263,Not_sig
O08582,Gtpbp1,GTP-binding protein 1,-0.5556347529,20.1211252,0.0005715213751,0.00976516346,Not_sig
O08583,Alyref,THO complex subunit 4,-0.7497482115,20.43113092,0.01824421728,0.07244640383,Not_sig
O08586,Pten,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",0.3709703879,19.90931549,0.07018484754,0.1741640863,Not_sig
O08599,Stxbp1,Syntaxin-binding protein 1,0.3094573006,24.13467093,0.006509727221,0.03756826164,Not_sig
O08600,Endog,"Endonuclease G, mitochondrial",0.2746323889,20.54073978,0.3294717483,0.4769668397,Not_sig
O08638,Myh11,Myosin-11,0.02112662428,20.65806244,0.9465956351,0.9702305566,Not_sig
O08648,Map3k4,Mitogen-activated protein kinase kinase kinase 4,-1.092809923,18.05506518,0.2670276833,0.4174627395,Not_sig
O08663,Metap2,Methionine aminopeptidase 2,-0.3016794703,21.28447858,0.005292825793,0.03323442665,Not_sig
O08677,Kng1,Kininogen-1,0.3617661918,24.81655538,0.02491315195,0.0898753708,Not_sig
O08688,Capn5,Calpain-5,0.5003893864,20.13219159,0.002710387742,0.02219383881,Not_sig
O08692,Ngp,Neutrophilic granule protein,-4.733486342,22.48769774,0.001867720056,0.01781087654,Down
O08709,Prdx6,Peroxiredoxin-6,-0.153321841,25.45345355,0.06851265379,0.171460987,Not_sig
O08739,Ampd3,AMP deaminase 3,-0.1137729673,19.71781834,0.4572276568,0.5979822736,Not_sig
O08746,Matn2,Matrilin-2,-0.3326218036,21.62103706,0.007218539823,0.04035628111,Not_sig
O08749,Dld,"Dihydrolipoyl dehydrogenase, mitochondrial",-0.1350202291,24.68563282,0.1771026899,0.3175061819,Not_sig
O08756,Hsd17b10,3-hydroxyacyl-CoA dehydrogenase type-2,0.1039285069,23.15555208,0.2539763185,0.4051754034,Not_sig
O08759,Ube3a,Ubiquitin-protein ligase E3A,0.1489221329,20.28756391,0.2911939664,0.4396074724,Not_sig
O08788,Dctn1,Dynactin subunit 1,0.0887081977,22.39280586,0.2147327076,0.3617347462,Not_sig
O08795,Prkcsh,Glucosidase 2 subunit beta,-0.2127788125,22.9291958,0.0232074392,0.08549638488,Not_sig
O08807,Prdx4,Peroxiredoxin-4,-0.214656631,21.97433517,0.007762876704,0.0421986151,Not_sig
O08808,Diaph1,Protein diaphanous homolog 1,0.09528672543,18.19807024,0.6073502155,0.7289707533,Not_sig
O08810,Eftud2,116 kDa U5 small nuclear ribonucleoprotein component,-0.3764204081,21.25059749,0.003457423835,0.02633321847,Not_sig
O08848,RO60,60 kDa SS-A/Ro ribonucleoprotein,0.09913768904,20.1982744,0.3690902809,0.5160516395,Not_sig
O08911,Mapk12,Mitogen-activated protein kinase 12,1.33420311,18.60008214,0.001492302695,0.01595340571,Up
O08914,Faah,Fatty-acid amide hydrolase 1,0.01582376187,20.54222468,0.8958934351,0.9360372939,Not_sig
O08915,Aip,AH receptor-interacting protein,-0.2108543847,21.15047681,0.03314078839,0.1071785271,Not_sig
O08917,Flot1,Flotillin-1,0.1596180692,22.29767109,0.05731901866,0.1532207547,Not_sig
O08919,Numbl,Numb-like protein,-0.04990626742,19.75274684,0.7266988132,0.8241329124,Not_sig
O08992,Sdcbp,Syntenin-1,-0.2457073778,21.92489036,0.09673948135,0.2128844381,Not_sig
O08997,Atox1,Copper transport protein ATOX1,0.0004998116916,22.50884049,0.9967877345,0.9989026932,Not_sig
O09005,Degs1,Sphingolipid delta(4)-desaturase DES1,-0.1442516014,19.93877827,0.2828050197,0.431887538,Not_sig
O09044,Snap23,Synaptosomal-associated protein 23,-0.1324587083,19.93348866,0.1395807784,0.2716320084,Not_sig
O09061,Psmb1,Proteasome subunit beta type-1,-0.1741948926,23.24801554,0.01038190168,0.05038120813,Not_sig
O09106,Hdac1,Histone deacetylase 1,-0.314549698,18.52353668,0.2166477401,0.3638388047,Not_sig
O09111,Ndufb11,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",0.4288890447,21.57063936,0.01062586716,0.05107314164,Not_sig
O09131,Gsto1,Glutathione S-transferase omega-1,-0.3196596252,21.74843513,0.1884283696,0.3318977823,Not_sig
O09159,Man2b1,Lysosomal alpha-mannosidase,-0.2609516913,18.88340937,0.3476356254,0.4949213074,Not_sig
O09161,Casq2,Calsequestrin-2,0.6737070906,19.87780763,0.2001667813,0.3452583544,Not_sig
O09164,Sod3,Extracellular superoxide dismutase [Cu-Zn],0.3991887722,19.28051933,0.09712917967,0.2132158341,Not_sig
O09165,Casq1,Calsequestrin-1,0.9617345084,26.19477999,0.0131604181,0.05817969803,Not_sig
O09167,Rpl21,60S ribosomal protein L21,-0.6967147891,19.964973,0.0530712712,0.145167769,Not_sig
O09172,Gclm,Glutamate--cysteine ligase regulatory subunit,0.002943940734,22.24921169,0.9661089412,0.9794275163,Not_sig
O09174,Amacr,Alpha-methylacyl-CoA racemase,0.2983615518,17.97141599,0.2262533438,0.374542332,Not_sig
O35066,Kif3c,Kinesin-like protein KIF3C,0.3026956775,18.74447424,0.1127714726,0.2362948555,Not_sig
O35074,Ptgis,Prostacyclin synthase,0.4055822509,19.28768003,0.2073370864,0.3534806145,Not_sig
O35075,Vps26c,Vacuolar protein sorting-associated protein 26C,0.1472195893,19.42699015,0.1918918053,0.3361402948,Not_sig
O35083,Agpat1,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,0.1734564498,21.38105908,0.1508072323,0.2843623551,Not_sig
O35098,Dpysl4,Dihydropyrimidinase-related protein 4,0.191165522,21.18085905,0.08450255419,0.1952494062,Not_sig
O35114,Scarb2,Lysosome membrane protein 2,-0.1181072248,21.21674889,0.2407272647,0.3913865052,Not_sig
O35127,Grcc10,Protein C10,-0.08116820472,20.96559675,0.4658926501,0.6057713343,Not_sig
O35129,Phb2,Prohibitin-2,0.04394792121,23.4947563,0.6070405144,0.7289707533,Not_sig
O35136,Ncam2,Neural cell adhesion molecule 2,0.1525331413,19.97542524,0.4080514886,0.551282837,Not_sig
O35153,Bet1l,BET1-like protein,-0.7209479609,18.59484171,0.002887638123,0.02310110498,Down
O35206,Col15a1,Collagen alpha-1(XV) chain,0.02441710385,25.3876506,0.8078659729,0.8781351565,Not_sig
O35215,Ddt,D-dopachrome decarboxylase,0.01804498628,23.48850143,0.8302486935,0.8923190006,Not_sig
O35226,Psmd4,26S proteasome non-ATPase regulatory subunit 4,-0.4097154395,21.39566592,0.0006955494981,0.01051296949,Not_sig
O35250,Exoc7,Exocyst complex component 7,0.04594955187,20.56965301,0.6633608187,0.77550956,Not_sig
O35286,Dhx15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,-0.1320409368,20.99340944,0.149816039,0.2834718126,Not_sig
O35326,Srsf5,Serine/arginine-rich splicing factor 5,-0.8012481302,20.08809868,0.003595428076,0.02670942977,Down
O35343,Kpna4,Importin subunit alpha-3,0.1366046196,19.72363604,0.3552022083,0.5032579639,Not_sig
O35344,Kpna3,Importin subunit alpha-4,0.3075583628,20.62497159,0.002593374898,0.02151207291,Not_sig
O35345,Kpna6,Importin subunit alpha-7,0.2074488632,20.52391412,0.0239970989,0.08739514875,Not_sig
O35350,Capn1,Calpain-1 catalytic subunit,0.2120113347,23.24932243,0.003149781106,0.02463141707,Not_sig
O35379,Abcc1,Multidrug resistance-associated protein 1,1.774880976,16.80816646,0.001645944037,0.01678423999,Up
O35381,Anp32a,Acidic leucine-rich nuclear phosphoprotein 32 family member A,-0.5454876923,21.77251917,0.0003570203974,0.007801405713,Not_sig
O35382,Exoc4,Exocyst complex component 4,-0.06011217902,20.25195702,0.5104447707,0.6454830698,Not_sig
O35405,Pld3,5'-3' exonuclease PLD3,-0.4445501155,21.67825165,0.001805669317,0.01770481915,Not_sig
O35409,Folh1,Glutamate carboxypeptidase 2,0.07915986542,19.69299999,0.4846132729,0.6231207651,Not_sig
O35454,Clcn6,Chloride transport protein 6,-0.1382457238,18.83820379,0.3402566094,0.4880499904,Not_sig
O35459,Ech1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",-0.04800682702,21.83630594,0.4341179498,0.5778165819,Not_sig
O35465,Fkbp8,Peptidyl-prolyl cis-trans isomerase FKBP8,-0.4643210634,21.83290269,0.003758521501,0.02711808721,Not_sig
O35490,Bhmt,Betaine--homocysteine S-methyltransferase 1,0,15.11704145,1,1,Not_sig
O35516,Notch2,Neurogenic locus notch homolog protein 2,0.1387586262,18.02611647,0.5155713148,0.6504601478,Not_sig
O35526,Stx1a,Syntaxin-1A,0.9896265404,19.19284549,0.00457645344,0.03017303096,Up
O35551,Rabep1,Rab GTPase-binding effector protein 1,0.001486366087,19.82322088,0.9876559292,0.994155376,Not_sig
O35593,Psmd14,26S proteasome non-ATPase regulatory subunit 14,-0.2961194309,22.2953036,0.009892535635,0.0490167552,Not_sig
O35598,Adam10,Disintegrin and metalloproteinase domain-containing protein 10,0.3075930367,23.68861104,0.01861008356,0.0735175202,Not_sig
O35604,Npc1,NPC intracellular cholesterol transporter 1,0.07949497633,19.84375175,0.4235910796,0.566566033,Not_sig
O35609,Scamp3,Secretory carrier-associated membrane protein 3,0.07006954555,20.09958741,0.6887459214,0.7954588957,Not_sig
O35621,Pmm1,Phosphomannomutase 1,0.2958962101,20.60045515,0.04374600488,0.1281875269,Not_sig
O35639,Anxa3,Annexin A3,-0.01066508207,23.49185989,0.9149446725,0.9510052806,Not_sig
O35643,Ap1b1,AP-1 complex subunit beta-1,-0.03969243983,21.72805777,0.6247738673,0.742491893,Not_sig
O35658,C1qbp,"Complement component 1 Q subcomponent-binding protein, mitochondrial",-0.05132342864,22.57201551,0.5797766472,0.7076495049,Not_sig
O35678,Mgll,Monoglyceride lipase,0.2879685878,21.25797836,0.09449228676,0.2092290125,Not_sig
O35682,Myadm,Myeloid-associated differentiation marker,0.114970755,20.99001752,0.4001052332,0.5452610162,Not_sig
O35685,Nudc,Nuclear migration protein nudC,-0.1960964612,22.61998561,0.1096501055,0.2320431673,Not_sig
O35701,Matn3,Matrilin-3,0.49006357,20.62592149,0.4385861596,0.5817389783,Not_sig
O35704,Sptlc1,Serine palmitoyltransferase 1,0.1014278117,19.05221352,0.6768519765,0.7861042903,Not_sig
O35737,Hnrnph1,Heterogeneous nuclear ribonucleoprotein H,-0.4996634223,23.3011002,0.0003781447698,0.007960653407,Not_sig
O35744,Chil3,Chitinase-like protein 3,-2.847847398,23.5076118,0.0001136320393,0.004389180993,Down
O35841,Api5,Apoptosis inhibitor 5,-0.2453317158,21.24308991,0.009285136852,0.04688204209,Not_sig
O35855,Bcat2,"Branched-chain-amino-acid aminotransferase, mitochondrial",0.2132607828,21.82475561,0.001595490095,0.01646319945,Not_sig
O35857,Timm44,Mitochondrial import inner membrane translocase subunit TIM44,0.1240039764,20.48408148,0.3263049047,0.473419109,Not_sig
O35864,Cops5,COP9 signalosome complex subunit 5,0.09686163961,21.10419752,0.241535431,0.3920337387,Not_sig
O35874,Slc1a4,Neutral amino acid transporter A,-0.5250830116,19.1331671,0.00992854426,0.04905992225,Not_sig
O35887,Calu,Calumenin,-0.2869842525,22.97333098,0.01631435091,0.06679451592,Not_sig
O35945,Aldh1a7,"Aldehyde dehydrogenase, cytosolic 1",0.5629827983,17.66604988,0.1213440271,0.247603804,Not_sig
O35954,Pitpnm1,Membrane-associated phosphatidylinositol transfer protein 1,0.2896744436,18.62051596,0.1509975909,0.2845809697,Not_sig
O35955,Psmb10,Proteasome subunit beta type-10,-1.003076637,18.64623313,0.001664054925,0.01692379264,Down
O35969,Gamt,Guanidinoacetate N-methyltransferase,-0.1209354232,21.70704208,0.1573209559,0.2913448694,Not_sig
O54692,Zw10,Centromere/kinetochore protein zw10 homolog,0.2564443699,18.20802567,0.3296707594,0.476981076,Not_sig
O54724,Cavin1,Caveolae-associated protein 1,0.2503872181,24.78720397,0.08110670682,0.1904520417,Not_sig
O54734,Ddost,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,-0.1980312279,23.27893139,0.1440642514,0.276429683,Not_sig
O54754,Aox1,Aldehyde oxidase 1,0.4950762039,18.69369579,0.03157163215,0.1046186493,Not_sig
O54774,Ap3d1,AP-3 complex subunit delta-1,-0.002686164606,21.19354021,0.9754027489,0.9844464404,Not_sig
O54781,Srpk2,SRSF protein kinase 2,-0.478986705,18.9051004,0.1224287876,0.2491302629,Not_sig
O54782,Man2b2,Epididymis-specific alpha-mannosidase,0.001697646031,17.77459409,0.9935197564,0.9971704851,Not_sig
O54786,Dffa,DNA fragmentation factor subunit alpha,0.07802792818,21.38695174,0.5819530207,0.7094001757,Not_sig
O54829,Rgs7,Regulator of G-protein signaling 7,0.4857289118,18.73947797,0.03602009121,0.1133669373,Not_sig
O54833,Csnk2a2,Casein kinase II subunit alpha',0.2423934925,19.39433273,0.1248152414,0.2522692829,Not_sig
O54879,Hmgb3,High mobility group protein B3,-1.017912534,20.11321094,0.000005335201216,0.00102260587,Down
O54890,Itgb3,Integrin beta-3,-0.8152191259,20.04007621,0.0002556305612,0.006439859298,Down
O54931,Akap2,A-kinase anchor protein 2,-0.3152291867,19.89952107,0.1190158463,0.2446865927,Not_sig
O54941,Smarce1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,-0.5070662174,20.07383114,0.01726564477,0.06971892884,Not_sig
O54946,Dnajb6,DnaJ homolog subfamily B member 6,-0.05307862645,20.03135893,0.7092221048,0.8132129921,Not_sig
O54950,Prkag1,5'-AMP-activated protein kinase subunit gamma-1,0.9922174944,17.98591137,0.0009615761287,0.01254971712,Up
O54962,Banf1,Barrier-to-autointegration factor,-0.140791553,21.78639793,0.5648629928,0.6947191238,Not_sig
O54983,Crym,Ketimine reductase mu-crystallin,-0.3677690723,19.38226687,0.01293401235,0.05752876643,Not_sig
O54984,Get3,ATPase GET3,0.07890383954,22.53323064,0.277015472,0.4264297232,Not_sig
O54988,Slk,STE20-like serine/threonine-protein kinase,-0.2161201669,20.56633452,0.07224474023,0.1780050816,Not_sig
O54991,Cntnap1,Contactin-associated protein 1,0.4414112755,21.75085509,0.0008223725541,0.01169053029,Not_sig
O54998,Fkbp7,Peptidyl-prolyl cis-trans isomerase FKBP7,-0.9228479344,18.62813695,0.05992817689,0.1580716357,Not_sig
O55013,Trappc3,Trafficking protein particle complex subunit 3,0.1519465929,21.66722256,0.04454289182,0.1300244415,Not_sig
O55022,Pgrmc1,Membrane-associated progesterone receptor component 1,0.08990301182,22.5157882,0.4480429814,0.589861687,Not_sig
O55023,Impa1,Inositol monophosphatase 1,-0.00126290463,24.56165176,0.9891976045,0.9951832779,Not_sig
O55026,Entpd2,Ectonucleoside triphosphate diphosphohydrolase 2,0.3697944266,24.37803968,0.009575144887,0.04786320791,Not_sig
O55029,Copb2,Coatomer subunit beta',-0.1162338276,22.34183912,0.146510289,0.2799876788,Not_sig
O55033,Nck2,Cytoplasmic protein NCK2,-0.08908620359,19.86721714,0.4365088228,0.5803007597,Not_sig
O55042,Snca,Alpha-synuclein,-0.2246902514,22.33009293,0.08603374674,0.1980017764,Not_sig
O55057,Pde6d,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",0.1067766432,20.83523986,0.3648911399,0.5125757558,Not_sig
O55091,Impact,Protein IMPACT,0.164355875,19.85241884,0.3138682299,0.4628739341,Not_sig
O55098,Stk10,Serine/threonine-protein kinase 10,-0.09516327073,20.68124676,0.3827111634,0.52986513,Not_sig
O55102,Bloc1s1,Biogenesis of lysosome-related organelles complex 1 subunit 1,-0.3166292633,19.67183521,0.03659642827,0.1140770903,Not_sig
O55103,Prx,Periaxin,-0.07632685357,30.00169767,0.5617330504,0.6922549741,Not_sig
O55106,Strn,Striatin,-0.2021540517,21.17157035,0.07986424902,0.1888644028,Not_sig
O55125,Nipsnap1,Protein NipSnap homolog 1,-0.1055848295,21.73118946,0.5253899909,0.6578557057,Not_sig
O55126,Nipsnap2,Protein NipSnap homolog 2,0.362545007,22.71722168,0.008893976992,0.04559057375,Not_sig
O55131,Septin7,Septin-7,0.08318885897,24.1075829,0.2093428227,0.3553160026,Not_sig
O55135,Eif6,Eukaryotic translation initiation factor 6,-0.141516669,21.25798837,0.1010540756,0.2193376977,Not_sig
O55137,Acot1,Acyl-coenzyme A thioesterase 1,0.4423653684,17.87512751,0.06094282003,0.1596200985,Not_sig
O55142,Rpl35a,60S ribosomal protein L35a,-0.4240576782,21.08276034,0.006502808312,0.03756826164,Not_sig
O55143,Atp2a2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,0.03310893641,23.34838467,0.7002952764,0.8063622815,Not_sig
O55186,Cd59a,CD59A glycoprotein,0.2691868238,23.80645892,0.0445965567,0.1300817947,Not_sig
O55201,Supt5h,Transcription elongation factor SPT5,-0.5982082308,18.86989062,0.0004983276511,0.009117726974,Down
O55222,Ilk,Integrin-linked protein kinase,0.06811750841,22.73498548,0.3663640079,0.5136382785,Not_sig
O55226,Chad,Chondroadherin,1.298608925,21.60203564,0.008489809602,0.04469275846,Up
O55229,Chkb,Choline/ethanolamine kinase,0.2943752668,19.08970615,0.02625184598,0.09260023287,Not_sig
