Accession,Description
P26443,"Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1 - [DHE3_MOUSE]"
P08553,Neurofilament medium polypeptide OS=Mus musculus GN=Nefm PE=1 SV=4 - [NFM_MOUSE]
O88935,Synapsin-1 OS=Mus musculus GN=Syn1 PE=1 SV=2 - [SYN1_MOUSE]
P08551,Neurofilament light polypeptide OS=Mus musculus GN=Nefl PE=1 SV=5 - [NFL_MOUSE]
D3Z6I8,Tropomyosin alpha-3 chain OS=Mus musculus GN=Tpm3 PE=3 SV=1 - [D3Z6I8_MOUSE]
E9Q7Q3,Tropomyosin alpha-3 chain OS=Mus musculus GN=Tpm3 PE=3 SV=1 - [E9Q7Q3_MOUSE]
P38647,"Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3 - [GRP75_MOUSE]"
P52480,Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4 - [KPYM_MOUSE]
Q9DBJ1,Phosphoglycerate mutase 1 OS=Mus musculus GN=Pgam1 PE=1 SV=3 - [PGAM1_MOUSE]
P63038,"60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1 - [CH60_MOUSE]"
Q8BFZ3,Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=1 SV=1 - [ACTBL_MOUSE]
Q62261,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2 - [SPTB2_MOUSE]"
P08228,Superoxide dismutase [Cu-Zn] OS=Mus musculus GN=Sod1 PE=1 SV=2 - [SODC_MOUSE]
P20029,78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3 - [GRP78_MOUSE]
Q9CZU6,"Citrate synthase, mitochondrial OS=Mus musculus GN=Cs PE=1 SV=1 - [CISY_MOUSE]"
Q64433,"10 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspe1 PE=1 SV=2 - [CH10_MOUSE]"
Q80X68,Citrate synthase OS=Mus musculus GN=Csl PE=1 SV=1 - [Q80X68_MOUSE]
P17751,Triosephosphate isomerase OS=Mus musculus GN=Tpi1 PE=1 SV=4 - [TPIS_MOUSE]
Z4YJV4,"2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=1 - [Z4YJV4_MOUSE]"
P03995,Glial fibrillary acidic protein OS=Mus musculus GN=Gfap PE=1 SV=4 - [GFAP_MOUSE]
P05202,"Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1 - [AATM_MOUSE]"
P00920,Carbonic anhydrase 2 OS=Mus musculus GN=Ca2 PE=1 SV=4 - [CAH2_MOUSE]
P15105,Glutamine synthetase OS=Mus musculus GN=Glul PE=1 SV=6 - [GLNA_MOUSE]
O08749,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2 - [DLDH_MOUSE]"
P99029,"Peroxiredoxin-5, mitochondrial OS=Mus musculus GN=Prdx5 PE=1 SV=2 - [PRDX5_MOUSE]"
B7ZNL3,Tpm1 protein OS=Mus musculus GN=Tpm1 PE=2 SV=1 - [B7ZNL3_MOUSE]
P68372,Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1 - [TBB4B_MOUSE]
Q6P9K8,Caskin-1 OS=Mus musculus GN=Caskin1 PE=1 SV=2 - [CSKI1_MOUSE]
P46660,Alpha-internexin OS=Mus musculus GN=Ina PE=1 SV=3 - [AINX_MOUSE]
P17710,Hexokinase-1 OS=Mus musculus GN=Hk1 PE=1 SV=3 - [HXK1_MOUSE]
P61922,"4-aminobutyrate aminotransferase, mitochondrial OS=Mus musculus GN=Abat PE=1 SV=1 - [GABT_MOUSE]"
Q9D6F9,Tubulin beta-4A chain OS=Mus musculus GN=Tubb4a PE=1 SV=3 - [TBB4A_MOUSE]
D3YVN7,Elongation factor Tu OS=Mus musculus GN=Gm9755 PE=3 SV=1 - [D3YVN7_MOUSE]
Q01853,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4 - [TERA_MOUSE]
Q7TMM9,Tubulin beta-2A chain OS=Mus musculus GN=Tubb2a PE=1 SV=1 - [TBB2A_MOUSE]
S4R249,Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=1 - [S4R249_MOUSE]
P48678,Prelamin-A/C OS=Mus musculus GN=Lmna PE=1 SV=2 - [LMNA_MOUSE]
Q03517,Secretogranin-2 OS=Mus musculus GN=Scg2 PE=1 SV=1 - [SCG2_MOUSE]
P50396,Rab GDP dissociation inhibitor alpha OS=Mus musculus GN=Gdi1 PE=1 SV=3 - [GDIA_MOUSE]
P99024,Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1 - [TBB5_MOUSE]
Q9D051,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Mus musculus GN=Pdhb PE=1 SV=1 - [ODPB_MOUSE]"
P47708,Rabphilin-3A OS=Mus musculus GN=Rph3a PE=1 SV=2 - [RP3A_MOUSE]
P17156,Heat shock-related 70 kDa protein 2 OS=Mus musculus GN=Hspa2 PE=1 SV=2 - [HSP72_MOUSE]
Q9CWF2,Tubulin beta-2B chain OS=Mus musculus GN=Tubb2b PE=1 SV=1 - [TBB2B_MOUSE]
Q8QZT1,"Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus GN=Acat1 PE=1 SV=1 - [THIL_MOUSE]"
Q9ERD7,Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1 - [TBB3_MOUSE]
P17742,Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus GN=Ppia PE=1 SV=2 - [PPIA_MOUSE]
P97807,"Fumarate hydratase, mitochondrial OS=Mus musculus GN=Fh PE=1 SV=3 - [FUMH_MOUSE]"
Q99KJ8,Dynactin subunit 2 OS=Mus musculus GN=Dctn2 PE=1 SV=3 - [DCTN2_MOUSE]
Q9WV92,"Band 4,1-like protein 3 OS=Mus musculus GN=Epb41l3 PE=1 SV=1 - [E41L3_MOUSE]"
P05201,"Aspartate aminotransferase, cytoplasmic OS=Mus musculus GN=Got1 PE=1 SV=3 - [AATC_MOUSE]"
P21550,Beta-enolase OS=Mus musculus GN=Eno3 PE=1 SV=3 - [ENOB_MOUSE]
S4R291,Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=1 - [S4R291_MOUSE]
P62814,"V-type proton ATPase subunit B, brain isoform OS=Mus musculus GN=Atp6v1b2 PE=1 SV=1 - [VATB2_MOUSE]"
A2AIM4,Tropomyosin beta chain OS=Mus musculus GN=Tpm2 PE=3 SV=1 - [A2AIM4_MOUSE]
P48036,Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1 - [ANXA5_MOUSE]
O88569,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus GN=Hnrnpa2b1 PE=1 SV=2 - [ROA2_MOUSE]
Q91VB8,Alpha globin 1 OS=Mus musculus GN=Hba-a1 PE=2 SV=1 - [Q91VB8_MOUSE]
F8WIT2,Annexin OS=Mus musculus GN=Anxa6 PE=1 SV=1 - [F8WIT2_MOUSE]
P68369,Tubulin alpha-1A chain OS=Mus musculus GN=Tuba1a PE=1 SV=1 - [TBA1A_MOUSE]
Q62188,Dihydropyrimidinase-related protein 3 OS=Mus musculus GN=Dpysl3 PE=1 SV=1 - [DPYL3_MOUSE]
P14152,"Malate dehydrogenase, cytoplasmic OS=Mus musculus GN=Mdh1 PE=1 SV=3 - [MDHC_MOUSE]"
P40142,Transketolase OS=Mus musculus GN=Tkt PE=1 SV=1 - [TKT_MOUSE]
O55042,Alpha-synuclein OS=Mus musculus GN=Snca PE=1 SV=2 - [SYUA_MOUSE]
P35486,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus GN=Pdha1 PE=1 SV=1 - [ODPA_MOUSE]"
P62897,"Cytochrome c, somatic OS=Mus musculus GN=Cycs PE=1 SV=2 - [CYC_MOUSE]"
P27773,Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2 - [PDIA3_MOUSE]
P19246,Neurofilament heavy polypeptide OS=Mus musculus GN=Nefh PE=1 SV=3 - [NFH_MOUSE]
Q91ZZ3,Beta-synuclein OS=Mus musculus GN=Sncb PE=1 SV=1 - [SYUB_MOUSE]
Q5EBP8,Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=2 SV=1 - [Q5EBP8_MOUSE]
Q9WTT4,V-type proton ATPase subunit G 2 OS=Mus musculus GN=Atp6v1g2 PE=2 SV=1 - [VATG2_MOUSE]
P35700,Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1 - [PRDX1_MOUSE]
Q9R1Q8,Transgelin-3 OS=Mus musculus GN=Tagln3 PE=1 SV=1 - [TAGL3_MOUSE]
A2ALV3,Endophilin-A1 OS=Mus musculus GN=Sh3gl2 PE=4 SV=1 - [A2ALV3_MOUSE]
Q4VWZ5,Acyl-CoA-binding protein OS=Mus musculus GN=Dbi PE=2 SV=1 - [Q4VWZ5_MOUSE]
Q99L13,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=1 SV=1 - [3HIDH_MOUSE]"
P60879,Synaptosomal-associated protein 25 OS=Mus musculus GN=Snap25 PE=1 SV=1 - [SNP25_MOUSE]
A2A5Y6,Microtubule-associated protein OS=Mus musculus GN=Mapt PE=1 SV=1 - [A2A5Y6_MOUSE]
Q3U2G2,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=2 SV=1 - [Q3U2G2_MOUSE]
P48722,Heat shock 70 kDa protein 4L OS=Mus musculus GN=Hspa4l PE=1 SV=2 - [HS74L_MOUSE]
P51174,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=2 - [ACADL_MOUSE]"
Q9CQX8,"28S ribosomal protein S36, mitochondrial OS=Mus musculus GN=Mrps36 PE=1 SV=1 - [RT36_MOUSE]"
Q02053,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1 - [UBA1_MOUSE]
O88952,Protein lin-7 homolog C OS=Mus musculus GN=Lin7c PE=1 SV=2 - [LIN7C_MOUSE]
P09411,Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4 - [PGK1_MOUSE]
Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3 - [THIM_MOUSE]"
Q8BP92,Reticulocalbin-2 OS=Mus musculus GN=Rcn2 PE=2 SV=1 - [RCN2_MOUSE]
Q9CPV4,Glyoxalase domain-containing protein 4 OS=Mus musculus GN=Glod4 PE=1 SV=1 - [GLOD4_MOUSE]
E9Q7L0,Protein Ogdhl OS=Mus musculus GN=Ogdhl PE=4 SV=1 - [E9Q7L0_MOUSE]
D3Z4B2,Gamma-soluble NSF attachment protein (Fragment) OS=Mus musculus GN=Napg PE=4 SV=1 - [D3Z4B2_MOUSE]
A0A0A0MQF6,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=4 SV=1 - [A0A0A0MQF6_MOUSE]
Q8BVI4,Dihydropteridine reductase OS=Mus musculus GN=Qdpr PE=1 SV=2 - [DHPR_MOUSE]
Q6IRU2,Tropomyosin alpha-4 chain OS=Mus musculus GN=Tpm4 PE=2 SV=3 - [TPM4_MOUSE]
Q8VIJ6,"Splicing factor, proline- and glutamine-rich OS=Mus musculus GN=Sfpq PE=1 SV=1 - [SFPQ_MOUSE]"
A0A0A0MQA5,Tubulin alpha-4A chain (Fragment) OS=Mus musculus GN=Tuba4a PE=4 SV=1 - [A0A0A0MQA5_MOUSE]
Q9R0P9,Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Mus musculus GN=Uchl1 PE=1 SV=1 - [UCHL1_MOUSE]
P62962,Profilin-1 OS=Mus musculus GN=Pfn1 PE=1 SV=2 - [PROF1_MOUSE]
Q9QXV0,ProSAAS OS=Mus musculus GN=Pcsk1n PE=1 SV=2 - [PCSK1_MOUSE]
G5E8R3,Pyruvate carboxylase OS=Mus musculus GN=Pcx PE=4 SV=1 - [G5E8R3_MOUSE]
Q8JZS0,Protein lin-7 homolog A OS=Mus musculus GN=Lin7a PE=1 SV=2 - [LIN7A_MOUSE]
Q9D172,"ES1 protein homolog, mitochondrial OS=Mus musculus GN=D10Jhu81e PE=1 SV=1 - [ES1_MOUSE]"
P63101,14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1 - [1433Z_MOUSE]
Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus GN=Aldh1l1 PE=1 SV=1 - [AL1L1_MOUSE]
P10649,Glutathione S-transferase Mu 1 OS=Mus musculus GN=Gstm1 PE=1 SV=2 - [GSTM1_MOUSE]
P26041,Moesin OS=Mus musculus GN=Msn PE=1 SV=3 - [MOES_MOUSE]
P42125,"Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus GN=Eci1 PE=1 SV=2 - [ECI1_MOUSE]"
Q5EBJ4,Ermin OS=Mus musculus GN=Ermn PE=1 SV=1 - [ERMIN_MOUSE]
B1AQW2,Microtubule-associated protein OS=Mus musculus GN=Mapt PE=1 SV=1 - [B1AQW2_MOUSE]
P09671,"Superoxide dismutase [Mn], mitochondrial OS=Mus musculus GN=Sod2 PE=1 SV=3 - [SODM_MOUSE]"
P63040,Complexin-1 OS=Mus musculus GN=Cplx1 PE=1 SV=1 - [CPLX1_MOUSE]
P20152,Vimentin OS=Mus musculus GN=Vim PE=1 SV=3 - [VIME_MOUSE]
Q9Z0F7,Gamma-synuclein OS=Mus musculus GN=Sncg PE=1 SV=1 - [SYUG_MOUSE]
Q9DCW4,Electron transfer flavoprotein subunit beta OS=Mus musculus GN=Etfb PE=1 SV=3 - [ETFB_MOUSE]
P54227,Stathmin OS=Mus musculus GN=Stmn1 PE=1 SV=2 - [STMN1_MOUSE]
P16627,Heat shock 70 kDa protein 1-like OS=Mus musculus GN=Hspa1l PE=2 SV=4 - [HS71L_MOUSE]
P16330,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Mus musculus GN=Cnp PE=1 SV=3 - [CN37_MOUSE]"
D3YTV8,Ankyrin-1 OS=Mus musculus GN=Ank1 PE=1 SV=1 - [D3YTV8_MOUSE]
Q9CPY7,Cytosol aminopeptidase OS=Mus musculus GN=Lap3 PE=1 SV=3 - [AMPL_MOUSE]
Q9DB20,"ATP synthase subunit O, mitochondrial OS=Mus musculus GN=Atp5o PE=1 SV=1 - [ATPO_MOUSE]"
P50516,V-type proton ATPase catalytic subunit A OS=Mus musculus GN=Atp6v1a PE=1 SV=2 - [VATA_MOUSE]
Q9D0S9,"Histidine triad nucleotide-binding protein 2, mitochondrial OS=Mus musculus GN=Hint2 PE=1 SV=1 - [HINT2_MOUSE]"
Q6GT24,Peroxiredoxin 6 OS=Mus musculus GN=Prdx6 PE=2 SV=1 - [Q6GT24_MOUSE]
P63328,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Mus musculus GN=Ppp3ca PE=1 SV=1 - [PP2BA_MOUSE]
P62259,14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1 - [1433E_MOUSE]
Q9D6T9,"28S ribosomal protein S36, mitochondrial OS=Mus musculus GN=Mrps36 PE=2 SV=1 - [Q9D6T9_MOUSE]"
A0A087WPX3,Neurofascin OS=Mus musculus GN=Nfasc PE=4 SV=1 - [A0A087WPX3_MOUSE]
P46460,Vesicle-fusing ATPase OS=Mus musculus GN=Nsf PE=1 SV=2 - [NSF_MOUSE]
Q62418,Drebrin-like protein OS=Mus musculus GN=Dbnl PE=1 SV=2 - [DBNL_MOUSE]
Q61696,Heat shock 70 kDa protein 1A OS=Mus musculus GN=Hspa1a PE=1 SV=2 - [HS71A_MOUSE]
D3Z5M4,Ankyrin-1 OS=Mus musculus GN=Ank1 PE=1 SV=1 - [D3Z5M4_MOUSE]
Q7TQF7,Amphiphysin OS=Mus musculus GN=Amph PE=1 SV=1 - [AMPH_MOUSE]
Q8BWF0,"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh5a1 PE=1 SV=1 - [SSDH_MOUSE]"
Q3TC72,Fumarylacetoacetate hydrolase domain-containing protein 2A OS=Mus musculus GN=Fahd2 PE=1 SV=1 - [FAHD2_MOUSE]
Q9D154,Leukocyte elastase inhibitor A OS=Mus musculus GN=Serpinb1a PE=1 SV=1 - [ILEUA_MOUSE]
Q61792,LIM and SH3 domain protein 1 OS=Mus musculus GN=Lasp1 PE=1 SV=1 - [LASP1_MOUSE]
Q61644,Protein kinase C and casein kinase substrate in neurons protein 1 OS=Mus musculus GN=Pacsin1 PE=1 SV=1 - [PACN1_MOUSE]
Q61598,Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1 - [GDIB_MOUSE]
O08539,Myc box-dependent-interacting protein 1 OS=Mus musculus GN=Bin1 PE=1 SV=1 - [BIN1_MOUSE]
Q7TQD2,Tubulin polymerization-promoting protein OS=Mus musculus GN=Tppp PE=1 SV=1 - [TPPP_MOUSE]
Q62442,Vesicle-associated membrane protein 1 OS=Mus musculus GN=Vamp1 PE=1 SV=1 - [VAMP1_MOUSE]
D3YTU0,Vesicle-associated membrane protein 1 OS=Mus musculus GN=Vamp1 PE=4 SV=1 - [D3YTU0_MOUSE]
P52196,Thiosulfate sulfurtransferase OS=Mus musculus GN=Tst PE=1 SV=3 - [THTR_MOUSE]
P47738,"Aldehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh2 PE=1 SV=1 - [ALDH2_MOUSE]"
Q6P1B9,Bin1 protein OS=Mus musculus GN=Bin1 PE=2 SV=1 - [Q6P1B9_MOUSE]
Q8R5L1,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Mus musculus GN=C1qbp PE=2 SV=1 - [Q8R5L1_MOUSE]"
Q0VGU4,MCG18019 OS=Mus musculus GN=Vgf PE=2 SV=1 - [Q0VGU4_MOUSE]
P50518,V-type proton ATPase subunit E 1 OS=Mus musculus GN=Atp6v1e1 PE=1 SV=2 - [VATE1_MOUSE]
Q99PT1,Rho GDP-dissociation inhibitor 1 OS=Mus musculus GN=Arhgdia PE=1 SV=3 - [GDIR1_MOUSE]
Q99P72,Reticulon-4 OS=Mus musculus GN=Rtn4 PE=1 SV=2 - [RTN4_MOUSE]
Q8BYI9,Tenascin-R OS=Mus musculus GN=Tnr PE=1 SV=2 - [TENR_MOUSE]
P18760,Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3 - [COF1_MOUSE]
P20108,"Thioredoxin-dependent peroxide reductase, mitochondrial OS=Mus musculus GN=Prdx3 PE=1 SV=1 - [PRDX3_MOUSE]"
Q8BG05,Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus GN=Hnrnpa3 PE=1 SV=1 - [ROA3_MOUSE]
Q91ZA3,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Mus musculus GN=Pcca PE=1 SV=2 - [PCCA_MOUSE]"
Q9D3D9,"ATP synthase subunit delta, mitochondrial OS=Mus musculus GN=Atp5d PE=1 SV=1 - [ATPD_MOUSE]"
Q8BH95,"Enoyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Echs1 PE=1 SV=1 - [ECHM_MOUSE]"
P61982,14-3-3 protein gamma OS=Mus musculus GN=Ywhag PE=1 SV=2 - [1433G_MOUSE]
Q9CQA3,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Mus musculus GN=Sdhb PE=1 SV=1 - [SDHB_MOUSE]"
Q99LC5,"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus GN=Etfa PE=1 SV=2 - [ETFA_MOUSE]"
Q9D1K2,V-type proton ATPase subunit F OS=Mus musculus GN=Atp6v1f PE=1 SV=2 - [VATF_MOUSE]
Q99LX0,Protein DJ-1 OS=Mus musculus GN=Park7 PE=1 SV=1 - [PARK7_MOUSE]
Q3ULD5,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus GN=Mccc2 PE=1 SV=1 - [MCCB_MOUSE]"
Q3U4W8,Ubiquitin carboxyl-terminal hydrolase OS=Mus musculus GN=Usp5 PE=2 SV=1 - [Q3U4W8_MOUSE]
Q8BMF4,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2 - [ODP2_MOUSE]"
Q9D6J6,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Mus musculus GN=Ndufv2 PE=1 SV=2 - [NDUV2_MOUSE]"
Q61166,Microtubule-associated protein RP/EB family member 1 OS=Mus musculus GN=Mapre1 PE=1 SV=3 - [MARE1_MOUSE]
Q62048,Astrocytic phosphoprotein PEA-15 OS=Mus musculus GN=Pea15 PE=1 SV=1 - [PEA15_MOUSE]
Q8K183,Pyridoxal kinase OS=Mus musculus GN=Pdxk PE=1 SV=1 - [PDXK_MOUSE]
Q9CQV8,14-3-3 protein beta/alpha OS=Mus musculus GN=Ywhab PE=1 SV=3 - [1433B_MOUSE]
Q8C845,EF-hand domain-containing protein D2 OS=Mus musculus GN=Efhd2 PE=2 SV=1 - [Q8C845_MOUSE]
A2AFQ2,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus GN=Hsd17b10 PE=1 SV=1 - [A2AFQ2_MOUSE]
A0A087WPR1,Myelin-associated glycoprotein OS=Mus musculus GN=Mag PE=4 SV=1 - [A0A087WPR1_MOUSE]
Q64332,Synapsin-2 OS=Mus musculus GN=Syn2 PE=1 SV=2 - [SYN2_MOUSE]
O70318,"Band 4,1-like protein 2 OS=Mus musculus GN=Epb41l2 PE=1 SV=2 - [E41L2_MOUSE]"
P26043,Radixin OS=Mus musculus GN=Rdx PE=1 SV=3 - [RADI_MOUSE]
Q91VM9,"Inorganic pyrophosphatase 2, mitochondrial OS=Mus musculus GN=Ppa2 PE=1 SV=1 - [IPYR2_MOUSE]"
P16125,L-lactate dehydrogenase B chain OS=Mus musculus GN=Ldhb PE=1 SV=2 - [LDHB_MOUSE]
Q3UKW2,Calmodulin OS=Mus musculus GN=Calm1 PE=2 SV=1 - [Q3UKW2_MOUSE]
Q8VCE0,"ATPase, Na+/K+ transporting, alpha 3 polypeptide OS=Mus musculus GN=Atp1a3 PE=2 SV=1 - [Q8VCE0_MOUSE]"
P62761,Visinin-like protein 1 OS=Mus musculus GN=Vsnl1 PE=1 SV=2 - [VISL1_MOUSE]
P57780,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1 - [ACTN4_MOUSE]
Q91V12,Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 PE=1 SV=2 - [BACH_MOUSE]
Q6P1J1,Crmp1 protein OS=Mus musculus GN=Crmp1 PE=2 SV=1 - [Q6P1J1_MOUSE]
P28663,Beta-soluble NSF attachment protein OS=Mus musculus GN=Napb PE=1 SV=2 - [SNAB_MOUSE]
Q99K85,Phosphoserine aminotransferase OS=Mus musculus GN=Psat1 PE=1 SV=1 - [SERC_MOUSE]
S4R2K9,Ankyrin-3 (Fragment) OS=Mus musculus GN=Ank3 PE=4 SV=1 - [S4R2K9_MOUSE]
Q9WUM5,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Mus musculus GN=Suclg1 PE=1 SV=4 - [SUCA_MOUSE]"
Q9D0K2,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Mus musculus GN=Oxct1 PE=1 SV=1 - [SCOT1_MOUSE]"
D3YXH0,Immunoglobulin superfamily member 5 OS=Mus musculus GN=Igsf5 PE=4 SV=1 - [D3YXH0_MOUSE]
Q61171,Peroxiredoxin-2 OS=Mus musculus GN=Prdx2 PE=1 SV=3 - [PRDX2_MOUSE]
Q91YH6,"ATPase, H+ transporting, lysosomal V1 subunit B1 OS=Mus musculus GN=Atp6v1b1 PE=2 SV=1 - [Q91YH6_MOUSE]"
O09061,Proteasome subunit beta type-1 OS=Mus musculus GN=Psmb1 PE=1 SV=1 - [PSB1_MOUSE]
Q9WUB3,"Glycogen phosphorylase, muscle form OS=Mus musculus GN=Pygm PE=1 SV=3 - [PYGM_MOUSE]"
O88737,Protein bassoon OS=Mus musculus GN=Bsn PE=1 SV=4 - [BSN_MOUSE]
P52503,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Mus musculus GN=Ndufs6 PE=1 SV=2 - [NDUS6_MOUSE]"
P15532,Nucleoside diphosphate kinase A OS=Mus musculus GN=Nme1 PE=1 SV=1 - [NDKA_MOUSE]
