Genes,log2FC(S2/P1),q value
IFFO1,1.622400039,0.002591763
SPTLC1,-1.176767083,0.002592222
WDR70,-0.814866018,0.002592222
COQ9,-1.500233804,0.002599745
COPS5,1.322821276,0.002600722
ALDH16A1,1.090054956,0.002602408
PPM1F,1.145311352,0.002602408
TDRD3,-1.240314336,0.002602408
DCAF1,-2.508271877,0.002611574
GBP9,0.826945379,0.002615301
ATP1B2,1.823310971,0.002624892
U2SURP,-3.826571072,0.00263018
SHARPIN,0.456792785,0.00263114
ABHD12B,-2.720897418,0.002642706
KRTDAP,2.389945819,0.002642706
PML,1.641808402,0.002642706
DIS3L2,1.003165221,0.002647222
GIMAP4,1.307728686,0.002647222
CPD,-1.826809342,0.002654284
PPAN,-1.570530896,0.002654504
DNAJC5,0.741578218,0.002655852
PDCL,2.527827823,0.002655852
SLC25A5,-2.884244881,0.002662757
UBAP2,-2.043761693,0.002662913
SERPINE2,-0.385427878,0.002672174
FARS2,0.853704103,0.002672174
FYTTD1,-1.074772589,0.002672544
SPEG,-3.303543379,0.002674697
SRRM1,-1.013107765,0.002676066
COMMD5,-1.033363123,0.002676066
TTC38,1.493340543,0.002677787
USP24,-0.987358689,0.002677787
CHUK,1.391965374,0.002677787
DDX42,-1.975909638,0.002677787
GPNMB,1.811402113,0.002677787
MYO15A,-2.054289425,0.002677787
KRT5,-2.937653217,0.002683709
PABPC4,-1.174712119,0.002688571
CPT1B,-1.44741993,0.002688571
PFDN4,1.156169702,0.002696348
TRIM47,1.003919938,0.002702263
TM9SF2,1.863029799,0.002703633
SET,-1.474221281,0.002706235
IL1R2,0.937778011,0.002709122
MARK2,-1.012978537,0.002709122
ACY1,0.381380251,0.002709122
CUX1,-0.654534393,0.002709898
NSRP1,-1.96076211,0.002713672
H2AC21,-0.546729665,0.002713672
ATG4A,4.138055477,0.002713672
TMCO1,-0.577663476,0.002713672
MUSTN1,1.534915548,0.002713672
RNF181,1.49233461,0.002713672
CST6,1.623766695,0.002713672
STAG1,-0.799920641,0.002713672
EIF2S3X,-0.704917906,0.002713672
KRT27,-2.830608576,0.002713672
CCDC127,-0.267102661,0.002715148
PSMA4,-1.451788433,0.002715148
BUD31,-1.795967058,0.002718298
AIMP2,1.018542541,0.00272165
TF,1.701653187,0.00272165
SUN1,-0.809369457,0.00272165
SGK3,-3.137457901,0.00272165
FXYD2,-1.658215081,0.002724925
F13B,1.755388679,0.002724925
GSTT2,1.278459359,0.002724925
MTDH,-2.837127936,0.002724925
RFTN1,3.491968656,0.002724934
CIAO3,0.774591034,0.002724934
NRDC,1.044686578,0.002724934
HOOK2,-3.236426216,0.002728836
TESC,1.841240496,0.002734625
RPP30,-2.703190999,0.002734783
UBE2F,0.637170651,0.002734783
REX1BD,1.807674745,0.002734783
TMSB15B2,1.143789172,0.002735689
RABL2,1.959738472,0.002735689
HACE1,1.533154071,0.002735689
NCBP3,-0.893978557,0.002735689
IPO11,1.451358739,0.002735689
ASB6,-0.782189019,0.002735689
CYGB,1.790228051,0.002735689
TSTD3,0.409551961,0.002735689
RPL7L1,-1.616338266,0.002735689
CTNNA1,-1.03243437,0.002739983
DNAH7B,-0.809611879,0.002741393
ANKRD29,-7.248431133,0.002744613
KLC1,0.988688987,0.002744613
RAN,1.789237669,0.002744613
MYH6,-1.409009803,0.002744613
PPP6R3,1.695377811,0.002744613
RAP2B,0.724064242,0.002746596
ATP1B4,-3.205113205,0.002747039
FAM151B,1.667082955,0.002747128
KRT23,-0.704012119,0.002747128
GPATCH8,-0.847058897,0.00275486
COL17A1,-1.822295021,0.00275486
HPCA,0.914170673,0.002758656
RAD21,-0.56794631,0.002758656
TATDN1,1.190028993,0.002769734
ADAL,2.833760907,0.002769734
RPL37,-2.770031501,0.002771253
TSC22D2,0.712130849,0.002772984
MUP4,3.144245382,0.002773844
CDC73,-1.377025884,0.002773844
ACSL5,-1.589300241,0.002773844
NAXE,1.753048195,0.002773844
RWDD4,-0.353052926,0.002773844
CAB39L,1.035227223,0.002773844
GNAI3,0.883437494,0.002773844
ENDOG,-4.619482512,0.002778115
SF3B4,-0.411767663,0.002778115
CRELD2,0.291558161,0.002778115
CS,-1.661227385,0.002778115
PFN3,3.582180123,0.002778115
SH3GLB1,-0.372883859,0.002778115
SMARCB1,-0.840911031,0.002778115
COQ10A,-1.202741803,0.002800236
PPT2,2.502075474,0.002800236
SIRT2,0.541183322,0.002800236
DDX27,-0.504913908,0.002800236
EBNA1BP2,-2.605784425,0.002800236
FABP7,0.472208962,0.002803448
RERG,2.11869908,0.002803448
FLII,-0.876946754,0.002803448
IGKV12-46,3.714889602,0.002804225
MACROH2A2,-0.369954615,0.002804854
ZFR,-1.124891163,0.002805619
ESRP1,-1.894414657,0.00280745
ACOT13,-0.777172214,0.00280745
RBP1,2.484220481,0.00282907
WDR43,-0.404182565,0.00282907
AP3S2,-2.040800092,0.00282907
BRD3,-0.498052381,0.00282907
ERLIN1,-1.806776543,0.00282907
EPCAM,-0.91915881,0.00282907
MAP3K6,4.221152404,0.00282907
TUBB1,-1.347357148,0.00283143
TRIM3,-1.656142929,0.00283143
VPS33A,-0.793039565,0.002835001
SAT2,1.043131106,0.002861013
Q9CRW3,1.432588797,0.002861013
OS9,-0.884427794,0.002863448
PLEKHA2,0.975387261,0.002863448
MTMR1,2.515411007,0.002868052
DCK,3.551497774,0.002874307
AGPS,1.741851794,0.002874307
TMUB1,-0.614348362,0.002874307
PSMB7,-1.628423191,0.002883088
CGNL1,-1.084603545,0.002883976
ACAT1,-1.012703507,0.002883976
ALOXE3,-1.171168946,0.002883976
FKBP9,-0.72671955,0.002883976
SUOX,0.838478423,0.002885135
TMEM59,-2.829319519,0.002885135
ZC3H11A,-0.428606489,0.002889973
TRAPPC6A,0.301114301,0.002889973
XPO1,1.387325051,0.002893861
PICALM,-1.0910467,0.002893861
TRIM56,-1.221912931,0.002893861
TTC39B,2.217114791,0.002893861
TCAF2,1.855327901,0.002893861
CMAS,-1.135785219,0.002893861
LMO7,-1.115391891,0.002894601
LYZ2,-1.497730002,0.002894601
KHDC4,-0.357028146,0.002894601
DHPS,0.34518574,0.002894601
ABCB7,-2.361258636,0.002894601
RBM26,-1.621761971,0.002894601
SPCS3,-1.233529734,0.002894601
SDHAF4,0.93259019,0.002894601
VPS52,-2.858754296,0.002894601
LTBP1,-0.7210854,0.002894601
RBM28,-1.580020443,0.002894601
DHRS7C,-0.924286419,0.002894601
TRIP10,-1.16929513,0.002894601
MCFD2,1.903585531,0.002894601
GSTM4,0.355398617,0.002894601
SERPINB1A,1.413405495,0.002894601
2310002L09RIK,-1.281598187,0.002894601
RPN2,-1.126620558,0.002894601
NAA80,2.620123371,0.002894601
ATP6AP1,1.054512333,0.002894601
WDFY3,-0.560078298,0.002899126
RECK,2.614427838,0.002899126
CCDC115,-1.60570159,0.002904246
GNAI2,0.448030763,0.002907635
RPL9,-2.933300722,0.002907635
AIDA,1.31565584,0.002907635
ECSIT,-0.823393088,0.002907635
ITPR2,-0.671180067,0.002907966
NAA25,-1.138794613,0.002909376
APOA2,1.230997716,0.002913379
FKBP5,0.643868132,0.002913379
CCAR2,-0.860627572,0.002914403
YTHDF2,-1.484595125,0.002914687
SUPT6H,-1.90534194,0.002915035
GLYR1,-0.708782588,0.002919742
PA2G4,-1.389117085,0.002926169
ALDH3B1,0.966368096,0.002926169
PTPRF,1.04984686,0.002930086
CANX,-0.345446624,0.002933297
MROH7,-1.358477277,0.00293499
DOCK1,-1.42668977,0.002935705
PRR14,-2.860364016,0.002939169
H2BC26;H2BU2,-1.204123023,0.002941868
DDX50,-0.701564928,0.002942552
MKI67,-1.375779712,0.002943496
NAA35,-2.697646341,0.002943496
ABITRAM,1.434215424,0.002943496
SLFN5,-1.327617615,0.002943496
WIPI1,0.57382538,0.002943496
TRIAP1,0.90183306,0.002943496
RIMOC1,0.678580023,0.002944463
ARID1A,-1.080496804,0.002944951
ITGA9,2.305968115,0.002944951
PKN1,-1.275830069,0.002944951
OBP2A,3.067642483,0.002944951
UQCRC2,-1.607617081,0.002944951
ACSL3,-0.857865833,0.002946879
SENP8,2.544146528,0.002946879
PSMA7,-0.867788453,0.002946879
ARHGAP12,-3.454220177,0.00294846
SLC25A42,-1.000001812,0.002950571
YARS2,-1.071658647,0.002950637
HGFAC,1.073074139,0.002950637
APEH,0.52445189,0.002952629
ATP5F1E,-2.08775276,0.002957687
SNRPA1,-2.173494271,0.002957687
NUFIP2,-1.132947522,0.002957687
Q8BGC1,1.28545508,0.002957687
CLPTM1L,-1.331552344,0.002957687
TBRG4,-1.503055136,0.002957687
TMEM9B,-1.348272312,0.002957687
PAXBP1,-1.056098021,0.002958816
PCBP1,-0.856889208,0.002958816
RALBP1,1.057491043,0.002958816
BNIP1,-0.499041624,0.002958816
CYFIP1,-0.954134786,0.002958816
PPWD1,-1.316833314,0.002958816
ACSBG1,-0.661921237,0.002958816
TCAP,-2.048250663,0.002960949
CTSK,-0.609651089,0.002960949
TNC,-1.058829126,0.002960949
GJB3,-1.741048228,0.002966176
RAB21,-0.660481182,0.002966241
SLC16A10,-1.491337845,0.002966241
SDHAF2,1.22979198,0.002966241
SNX18,0.715814551,0.002966241
CCDC86,-2.621908826,0.002966241
HAX1,-0.866201476,0.002966306
ATP2B4,-1.215865296,0.002966507
GTF2E2,-0.686883611,0.002966507
NOLC1,-2.252717642,0.002972041
CUL5,0.325995112,0.002972746
MACROH2A1,-9.855576354,0.002972746
TMOD1,-1.521260125,0.002972918
SLC16A3,-1.358999792,0.002973003
SH3KBP1,-1.349314787,0.002973003
ASPN,-1.930548444,0.002973003
YIF1B,-2.348902176,0.002973003
COX7A2L,-1.010107895,0.002974274
CELA2A,3.083913162,0.002978295
SULT6B1,2.726696612,0.002978295
CPE,0.523933622,0.002978295
PODN,-0.57296338,0.002978295
WWP1,-1.20216426,0.002978295
TBC1D22A,1.087501281,0.002978295
WFDC12,0.960043501,0.002978295
YTHDF1,-1.000106651,0.002980874
HSPA1B,0.976409698,0.002981023
AQP1,-1.193240516,0.002981023
RTF2,-0.666727334,0.002981023
CYP2D11,1.05690309,0.002982815
CSTF3,-0.452543213,0.002983179
EXOSC10,-0.706181264,0.002983825
WIZ,-1.363007791,0.002986304
TNNT1,-0.68454233,0.002986304
ALDH1A1,1.255409157,0.002986304
TEAD1,-1.153538068,0.002986304
ACCS,2.318973329,0.002986334
ARMT1,0.805615183,0.002986566
CABP7,1.188494726,0.002986566
PIR,1.254977897,0.002988407
RNF141,0.459594307,0.002992612
CD2AP,-1.088657777,0.002992612
SPON2,0.415987808,0.002994565
ERMP1,-1.489634688,0.003002123
PLAAT3,1.295036651,0.003004773
EXOC6B,-0.827380104,0.003004877
TNS1,-0.827545407,0.003004877
HSPA1L,5.69301167,0.003004877
OAT,1.211461307,0.003004877
UPP1,0.784639103,0.003004877
GIGYF2,-1.327319408,0.003004877
MFN1,-0.429260195,0.003004877
AKR1C14,0.514735823,0.003004877
PAM16,-0.68588003,0.003004877
MAGT1,-0.723997436,0.003004877
VPS28,0.555663136,0.003004877
OVCA2,0.325365936,0.003004877
DPH2,1.987712595,0.003016873
ADAMTS1,2.352316623,0.003016893
RPUSD2,1.769552606,0.003016893
EIF4G1,-0.486758417,0.003016893
CWC22,-1.071185977,0.003016893
MYO5A,-1.961367185,0.003016893
FDX1,0.835440836,0.003017329
SRR,0.822104095,0.003017329
MATN2,-0.890741349,0.003020688
KRT18,-1.51010147,0.003020688
HMGN1,-3.01729979,0.003020688
COQ8B,-2.313307335,0.003020688
Q5EBG8,1.057764252,0.003020688
NOL10,-0.938863106,0.003020688
ZNF512,-0.306232229,0.003020688
UBQLN1,1.615991684,0.003020688
CD207,-1.073099246,0.003020688
PLRG1,-0.749302185,0.003020688
NUDT14,0.841804303,0.003020688
DKC1,-2.396149007,0.003020688
PROB1,-0.622961346,0.00302152
R3HCC1,0.693585177,0.00302152
PIH1D1,0.796511064,0.00302152
DUT,1.284488828,0.003026163
PTGES,-0.592370383,0.003031213
IBSP,-3.43990328,0.003035775
VRK1,-0.250612256,0.003035775
RBMS1;RBMS3,-0.749598605,0.003035775
MYOZ3,-2.354969826,0.003035775
VIT,-2.32244011,0.003035775
GM4841,0.751441623,0.003037547
FHIT,0.587059886,0.003037547
MUP20;MUP3,1.740007055,0.003037547
KLK1B9,0.768523564,0.003037547
HK1,0.878293402,0.003037547
PCP4,2.292648056,0.003037547
RHOT2,-1.155530706,0.003037547
MRPL33,-1.605243254,0.003037547
CTSC,1.019294653,0.003039179
NFU1,-1.225027885,0.003039179
ALBFM1,3.538983076,0.003041403
EPM2A,0.186482153,0.003041645
MGP,-3.429250108,0.003042452
ERP29,0.921583916,0.003042482
PHIP,-0.897349941,0.003042482
EMC4,-1.15349368,0.003042482
HMGA1,-0.631006615,0.003044482
CORO2B,1.890529385,0.003044482
FBXW17,0.780034337,0.003044482
TUBB4A,-0.97326385,0.003044482
CRP,2.254227661,0.00304505
NSMAF,1.103797464,0.003045593
SAA4,1.173072327,0.003045593
COMMD8,0.780757822,0.003045593
ATXN2,-1.098963562,0.003045949
GBP4,2.371447036,0.003045949
MCMBP,2.059893586,0.003045949
MYCBP,1.2295093,0.003045949
MAP2K3,-1.304200065,0.003048527
PPME1,0.838158575,0.003048527
DSG4,-0.218768944,0.003055323
PMVK,1.292918272,0.003055323
HNRNPDL,-1.523753572,0.003055323
DDX51,-2.332031989,0.003055887
PHLDB1,-1.384012274,0.003055887
CHD7,-4.666437073,0.003055956
SFSWAP,-1.14572958,0.003055956
MVB12A,-1.900673972,0.003055956
INPP5K,1.563157998,0.003055956
SERPINB9B,1.147528068,0.003055956
CEP170B,-1.582850858,0.003057193
ABLIM2,-2.412565871,0.003057193
TTC32,1.530167592,0.003057193
TMED2,-1.255863423,0.003057193
USP25,1.215522761,0.003060991
TPRG1L,1.758941632,0.003060991
YPEL5,0.782260319,0.003062103
IDS,2.550000671,0.003062103
PRKCI,1.240838619,0.003062103
TRUB1,2.367017742,0.003062103
ACO2,1.546808948,0.003062103
NOP56,-2.579920041,0.003062103
FKBP1B,1.199025474,0.003062103
DHX30,-1.435117324,0.003064347
SAMHD1,0.772020141,0.003064605
ATXN2L,-2.028044126,0.003064605
CCDC124,-3.226097847,0.003064605
DSG3,-2.183308489,0.003064663
IPO13,1.204846712,0.003064904
OTUD1,1.310967593,0.003064904
XPO4,1.365562899,0.003064904
RNASE4,1.107435996,0.003064904
PPFIA1,-0.558366087,0.003066671
TP63,-0.761971358,0.003066671
PPOX,-0.823388729,0.003066671
SLC12A2,-1.598148957,0.003066671
ZNRD2,1.073314778,0.003066671
FRRS1,3.271592114,0.003066671
PPP1R1A,0.721770974,0.003066671
LBH,1.982846552,0.003067277
ALYREF,-4.61555626,0.003069154
SLC27A3,-0.212054707,0.003069154
SERPINA3K,2.308941002,0.003069154
WDR5,-1.24143693,0.003069154
DLG1,-1.403710597,0.003069154
RETREG1,-2.076580945,0.003069154
MT2,2.841986386,0.003074678
TMEM126A,-1.036301631,0.003074678
SPRR2B;SPRR2D;SPRR2G;SPRR2H;SPRR2K,2.209700885,0.003082117
PRPF4B,-0.693707713,0.003086936
KRT36,-3.479224753,0.00308887
NME3,3.282568282,0.003090684
1700001F09RIK;BC061237;GM10376;GM3486;GM3543;GM3573;GM3676;GM4181;GM47189;GM5800,-2.866734265,0.003092961
QTRT2,0.503632612,0.00309343
FOCAD,-1.236189702,0.003094333
RBM14,-1.690294814,0.003094333
UPF2,-1.029075687,0.003100546
BNIP3,-1.553260522,0.003100546
CNP,-0.974737214,0.003100546
LMNB2,-4.978582505,0.003100546
CDA,0.321019791,0.003100546
TLE5,-0.361945397,0.003100546
PPP3CA,0.783898138,0.003100546
TSR3,-1.565317211,0.003100546
DPF2,-0.965193651,0.003100546
DNAJC1,-0.496302822,0.003100546
CD47,1.811233068,0.003100546
ZFYVE16,1.863940281,0.003100546
AADACL2FM1,-2.078937854,0.003100546
TIGAR,0.925030668,0.003100546
GUF1,-0.897508391,0.003100546
C1RA,2.001568897,0.003100546
ASPA,4.551824642,0.003100546
KPTN,2.324065111,0.003100546
MTMR6,3.124241063,0.003100546
HLCS,1.02930904,0.003100546
NXF1,-0.529912463,0.003100546
NDUFA2,-2.190982012,0.003100546
MRPS17,-2.332459084,0.003100546
LSM12,-0.847784136,0.003100546
PSMG2,0.996421266,0.003100546
SLC12A7,2.084240038,0.003100546
POLB,-1.166451232,0.003104071
UQCC5,-1.659581532,0.003105482
Q8R3Y5,-0.730645257,0.003107173
UBASH3B,1.335725629,0.003108305
PUM3,-2.672470552,0.003108305
MOGS,-1.314550987,0.003111775
MAVS,-1.186906975,0.003111775
PPIG,-0.993547457,0.00312139
TCEA1,-1.232488938,0.00312139
GNAS,-1.080371785,0.00312139
CALM5,1.803165499,0.00312139
DNAJA2,-1.10741613,0.00312139
ADAP1,3.014809235,0.003125634
TARBP1,0.430716863,0.003125634
UBE2D1,0.847811937,0.003125634
NSUN2,0.585625022,0.003125634
ACP6,0.933827495,0.003125634
CACTIN,-0.551462241,0.003125634
PHAX,1.697771273,0.003125634
MYOZ2,-2.031718958,0.003125634
AGPAT1,-1.043127084,0.003127776
LCAT,0.842467062,0.003127776
SDC1,0.713585538,0.003127776
CTSG,-2.074180633,0.003127776
RPLP1,-2.181764443,0.003127776
NUDT1,0.363058652,0.003127776
UBE2D2,1.476132276,0.003127776
RIT1,1.24105116,0.003127776
TRMT10C,-1.019954885,0.003127776
CRPPA,0.636136715,0.003127776
GLT8D1,-2.148073279,0.003127776
FAM76B,-0.628852141,0.003127776
MPHOSPH10,-0.657547342,0.003127776
LMOD1,-1.067498934,0.003127776
TMX4,-5.078423492,0.003127776
NELFB,-1.243401315,0.003127776
ELOA,-1.5017049,0.003127776
WDR47,1.003121991,0.003127776
MBOAT7,-1.084712765,0.003127776
ILKAP,-0.995584501,0.003127776
RCC1,-0.408134263,0.003127776
FUBP1,-1.197969587,0.003127776
CES1F,0.261445165,0.003127776
NDUFAF1,-1.885737467,0.003127776
ACBD6,0.583252058,0.003127776
KRT20,-1.26340788,0.003127776
CNPY3,-0.788804713,0.003127776
EIF4ENIF1,-3.635754239,0.003127776
PBK,0.988946044,0.003127776
NAGK,1.111964909,0.003127776
NUBP1,0.650285067,0.003127776
SRSF10,-0.191080104,0.003127776
TIMM23,-0.413754137,0.003127776
RBPMS,3.033433386,0.003127776
PADI3,-1.152721619,0.003127776
OSBPL10,2.663371767,0.003127776
INPP4A,-1.823863565,0.003128902
ARL6,0.429324335,0.0031304
SURF1,-1.675451879,0.0031304
MTRES1,-1.366570953,0.0031304
UBE2A,0.661110672,0.0031304
CLCN1,-1.274644464,0.003131645
LYAR,-0.867503366,0.003134906
ECPAS,-0.442262137,0.003137112
OXLD1,1.542890145,0.0031405
ADH6A,0.555321305,0.003147355
FTSJ3,-0.977642946,0.003147355
SAP18,-5.933689892,0.003149624
RBM27,-0.853647637,0.003149624
NFKBIB,1.367177392,0.003149624
MRE11,-0.631394861,0.003149624
AKTIP,0.684125366,0.003149624
LSAMP,1.707729548,0.003149624
DUSP15,-1.819629535,0.003149624
SELENOM,2.110477234,0.003149624
GAR1,-0.503346613,0.003149624
LYG1,-2.089044307,0.003149624
OCIAD2,-1.393026062,0.003149624
ARR3,3.304620481,0.003149624
ZSWIM4,-3.376111191,0.003153012
ATP6V1C2,-1.575383052,0.003153012
IRF2BP1,-3.474675504,0.00315531
HFE,0.565174794,0.003161379
UAP1L1,1.651717438,0.003161379
XRCC1,-1.217355728,0.003161379
NDUFA12,-1.647654888,0.003161379
ASF1B,1.413725531,0.003161379
COX7A1,-3.154540115,0.003168056
FKBP8,-0.933996955,0.00316811
MAK16,-0.7085896,0.00316811
PSMD4,0.963067579,0.003171477
AOX1,1.435929602,0.003171477
PDCD11,-1.703200018,0.003173611
EXOC1,-0.805985252,0.003173611
UTP18,-1.087478621,0.003175678
RBM25,-1.002890305,0.003176344
PPCDC,2.36412455,0.003176344
SLC27A4,-1.033758084,0.003176344
HINT3,0.719254017,0.003176344
FAM227B,2.387430403,0.003177679
IGHV5-16,0.795744155,0.003180045
DNASE1L3,-0.697719821,0.003180045
NDUFAF7,0.880150776,0.003180045
PSPH,1.61895862,0.003183509
VAT1L,1.150013738,0.003191794
SEPSECS,-1.520333268,0.003195542
AAGAB,1.514250671,0.003195542
ANK1,-1.557420327,0.003198391
CARNS1,0.690829991,0.003198391
SIK3,0.301662862,0.003199317
ATG4B,0.886147269,0.003199317
MAB21L4,1.250692021,0.003202932
MRPS15,-1.23126443,0.003202932
VAT1,0.708386614,0.003204648
TPPP,-1.727467216,0.003204648
MTRR,0.481595724,0.003204648
TMA7,-2.664989275,0.003204648
NAT10,-0.129843403,0.003204648
SYNPO2,-2.574472393,0.003204648
ABCB10,-2.06047166,0.003204648
CDKN2B,0.782194529,0.003206162
EXOC3,-1.337100094,0.003206723
CRIPT,6.568271453,0.003207887
IGH-1A;IGHG,4.197404101,0.003212003
FNBP1,0.963863195,0.003213336
NIFK,-0.835240059,0.003213336
APMAP,-1.599092327,0.003213336
THBS4,-1.549766826,0.003213336
ARCN1,-0.324533981,0.003213641
NEXN,-1.899290183,0.003214661
TMLHE,-1.336408842,0.00321698
SRP14,-3.362053211,0.003220069
HECTD3,2.911846493,0.003220069
2200002D01RIK,-0.763036186,0.003221844
MOCS2,0.494847303,0.003227217
FPGT,0.104003861,0.003228343
EIF4EBP2,2.484693856,0.003230436
DPT,1.501294037,0.003232034
C1S1,1.432942743,0.003240508
MANBAL,-1.640428515,0.003240508
CCDC90B,-2.341337716,0.003241261
PARPBP,0.95745008,0.003243728
PCSK6,-1.603208832,0.003245996
CHMP6,-1.397924714,0.003245996
TCP1,0.892589974,0.003245996
ECM2,-1.204633284,0.003245996
NOP58,-0.684654445,0.003245996
PPP1R10,-0.803928179,0.003245996
EPN3,1.755845914,0.003245996
MRPS28,-0.489015872,0.003245996
PSMB3,-0.936046647,0.003245996
BRD2,-0.249700231,0.003248068
FUNDC1,-0.631749837,0.003248068
ALOX15,-0.893516306,0.003248351
CLASP2,-2.136533527,0.003251817
SDR39U1,-0.953136692,0.003251911
GLS,1.300752049,0.003252552
CYB5R4,2.313147263,0.00325372
GM5478,-1.135631139,0.003256596
CUL4A,1.211156802,0.003256596
FNDC3B,-0.806803994,0.003256596
ITIH5,-0.497910125,0.003256596
AQR,-0.744448122,0.003256596
FOXRED1,-1.976474224,0.003257917
TMEM205,-0.904151942,0.003260156
HDGFL2,-1.36894627,0.003262228
CNOT9,1.115227838,0.003262228
FBP2,4.494252319,0.003265555
WDFY2,1.063195382,0.003265555
COG5,0.893614407,0.003265555
MRPL46,-1.823587279,0.003266312
KRTAP13,-4.367958665,0.003267689
CHERP,-1.174779027,0.003267689
COMMD4,1.285803645,0.003273694
BOD1L,-1.497733818,0.003275565
MLYCD,-1.565894968,0.00327753
HOMER2,-1.588036869,0.003278597
KRTAP27-1,-1.94761251,0.003282065
GOLGA3,-1.162035838,0.00328522
AKAP12,1.066750731,0.003289043
MRPS6,-2.182606193,0.003289219
CGGBP1,-1.356656938,0.003289384
FILIP1L,-0.454668272,0.003293475
DDX23,-0.65207,0.003296775
KLF4,-1.181838379,0.003296775
ZMYND8,1.512866481,0.003299028
UFL1,-2.156372952,0.003299028
DHX16,-1.152390816,0.003301983
DNAH5,-1.853514295,0.003301983
NUDT7,0.795472695,0.003301983
MMP9,-1.974597973,0.003304148
SUPT16H,-0.632323103,0.003304148
IK,-0.435712963,0.003306498
NOC2L,-1.117388086,0.003306919
VCAM1,1.035718381,0.003312667
ELP3,0.790596578,0.003312667
WDR46,-1.142049463,0.003312667
BSPRY,1.095608789,0.003313985
DDA1,0.568691521,0.003313985
LAMTOR4,3.485067629,0.003316639
PIGR,0.503464061,0.003321904
RANBP10,-0.790022223,0.003321904
ARL6IP6,-0.909595099,0.003325814
PUM1;PUM2,-1.156912984,0.003326007
CGREF1,0.806239061,0.003326007
IST1,-1.322282887,0.003326007
FGFBP1,-1.507216194,0.003329181
N4BP1,1.053513274,0.003329181
GBP2,-0.493503522,0.003329181
KRT6B,-2.309367301,0.003329181
CAMKMT,2.011737713,0.003329935
SHOC2,-1.557817194,0.003331522
ATP5MC1;ATP5MC2;ATP5MC3,-6.658408882,0.003331522
TUBAL3,1.617219025,0.003331522
AGR2,-2.390247641,0.003333364
REEP5,-0.499164822,0.003333364
ERGIC3,-2.120587283,0.003333364
ATRX,-0.46053674,0.003333692
UBA7,1.499355278,0.003333692
XPO7,2.085560914,0.003333692
GFM1,1.452686056,0.003339423
CRTC2,0.610092564,0.003342375
POU2F1,-1.356714698,0.003343398
CPSF1,-1.185346055,0.003343398
CASTOR2,0.576808891,0.003348179
NFYC,-0.679604686,0.003351617
MAIP1,-0.489189705,0.003351617
NUBPL,-1.071727276,0.003351617
B3GLCT,1.519155213,0.003352156
HNMT,0.83375663,0.003356982
OR10H1;OR10H1B;OR10H5;OR10Z1;OR13C7;OR13C7B;OR13C7C;OR13C7D;OR8B4,1.549068164,0.003357854
ARHGEF10,1.492650849,0.003358917
APBA2,0.988363274,0.003363257
TFAM,-0.574540113,0.003365314
LCLAT1,-0.538573823,0.003365314
WLS,2.931010867,0.003366826
MAPKAP1,-2.010733911,0.003366826
OGFRL1,1.352864623,0.003366826
ISG20,-2.982726945,0.003366826
Q9D937,-0.678714478,0.003374007
KRT7,-1.895404749,0.003374007
SCARB2,0.768147576,0.003374083
XIRP2,-2.231423121,0.003374083
NRF1,-2.284095902,0.003374083
ELP2,0.655086832,0.003375288
FAM205A2;FAM205A3;FAM205A4,-9.436365184,0.003376513
PTPRO,-1.09825968,0.003376513
LMOD3,-1.65797926,0.003376513
U2AF2,-1.893383256,0.003376513
SURF6,-0.494464444,0.003376513
ATP11A,-2.393464908,0.003376513
RASIP1,-1.397071637,0.003376513
PRMT9,0.445500158,0.003376513
PROM2,-2.067515507,0.003376513
JAGN1,-0.349133102,0.003376513
CTNNA2,2.272707538,0.003376513
SMCHD1,-0.585255688,0.003376513
KCTD12,-1.498166049,0.003376513
VRK2,-1.130884821,0.003376513
RBM19,-2.406569316,0.003376513
CCDC9,-0.72405938,0.003376513
PPP1R14A,1.291831366,0.003376513
NOP2,-0.221874012,0.003376513
WDSUB1,0.471602663,0.003376513
PCK1,1.166021888,0.003376513
SLC27A1,-4.36923043,0.003378795
IGHV6-3;IGHV6-6,0.821111102,0.003380752
DHCR7,-3.02820222,0.003380752
FETUB,1.209172209,0.003380752
EXOSC3,-1.446138692,0.003382295
FAM177A1,3.371060677,0.003385693
PIK3CG,-1.879733939,0.003389356
CELA1,0.895686266,0.003390145
SYNPO2L,-1.983067607,0.003390153
SPRYD7,-2.677200947,0.003390509
LDHD,1.63757575,0.003390509
ADPRM,0.802879925,0.003390509
PPP3R1,1.526922887,0.003395009
COL14A1,-2.824087049,0.003395009
PELO,-0.938600074,0.003395009
DDX56,-1.570459984,0.003395009
IFNAR2,1.384078331,0.003398908
LEMD2,-0.937855707,0.003402129
POLR2I,0.452700751,0.003405697
NOP9,-0.83455758,0.003406949
LIG1,1.030499845,0.003408929
FLNC,-1.557287722,0.003411798
TPP1,-2.833672222,0.003413492
TBL3,-2.019797501,0.003413763
CNTF,1.062538468,0.003422058
PRUNE1,1.312922797,0.003422058
ACSL1,-1.144077502,0.003422082
NTAQ1,0.741968613,0.003422082
TANGO2,1.76919846,0.003423411
EIF2D,-1.134466328,0.003428941
IDH2,1.137956013,0.003429876
TCP11L1,0.348776062,0.003431354
C1QC,-1.089358339,0.003432196
GET4,0.933676126,0.003434721
NLRX1,-3.060121715,0.003436274
TFAP2A,-3.149812164,0.003440981
MFGE8,-2.101105762,0.003442672
PTPRG,2.54972645,0.003442672
