"","HGNC.symbol","MGI.symbol","type"
"81","ADAM20","Adam20","protein modifying enzyme"
"82","ADAM21","Adam21","protein modifying enzyme"
"83","ADAM22","Adam22","protein modifying enzyme"
"84","ADAM23","Adam23","protein modifying enzyme"
"85","ADAM28","Adam28","protein modifying enzyme"
"86","ADAM29","Adam29","protein modifying enzyme"
"87","ADAM7","Adam7","protein modifying enzyme"
"88","ADAM9","Adam9","protein modifying enzyme"
"89","ADAMTS3","Adamts3","protein modifying enzyme"
"90","ADCYAP1","Adcyap1","neuropeptide"
"91","ADCYAP1R1","Adcyap1r1","other transmembrane signal receptor"
"92","ADGRA2","Adgra2","G-protein coupled receptor"
"93","ADGRB2","Adgrb2","G-protein coupled receptor"
"94","ADGRE5","Adgre5","G-protein coupled receptor"
"95","ADGRF5","Adgrf5","G-protein coupled receptor"
"96","ADGRG1","Adgrg1","G-protein coupled receptor"
"97","ADGRG2","Adgrg2","G-protein coupled receptor"
"98","ADGRG3","Adgrg3","G-protein coupled receptor"
"99","ADGRG5","Adgrg5","G-protein coupled receptor"
"100","ADGRL1","Adgrl1","G-protein coupled receptor"
"101","ADGRL2","Adgrl2","G-protein coupled receptor"
"102","ADGRL4","Adgrl4","G-protein coupled receptor"
"103","ADGRV1","Adgrv1","G-protein coupled receptor"
"104","ADH1A","Adh1","metabolite interconversion enzyme"
"105","ADH1B","Adh1","metabolite interconversion enzyme"
"106","ADH1C","Adh1","metabolite interconversion enzyme"
"107","ADH4","Adh4","metabolite interconversion enzyme"
"108","ADH5","Adh5","metabolite interconversion enzyme"
"109","ADH6","Adh6b","metabolite interconversion enzyme"
"110","ADH7","Adh7","metabolite interconversion enzyme"
"111","ADI1","Adi1","metabolite interconversion enzyme"
"112","ADIPOQ","Adipoq","scaffold/adaptor"
"113","ADIPOR1","Adipor1","G-protein coupled receptor"
"114","ADIPOR2","Adipor2","G-protein coupled receptor"
"115","ADK","Adk","unclassified"
"116","ADM","Adm","peptide hormone"
"117","ADM2","Adm2","peptide hormone"
"118","ADO","Ado","unclassified"
"119","ADORA1","Adora1","G-protein coupled receptor"
"120","ADORA2A","Adora2a","G-protein coupled receptor"
"121","ADORA2B","Adora2b","G-protein coupled receptor"
"122","ADORA3","Adora3","G-protein coupled receptor"
"123","ADPGK","Adpgk","metabolite interconversion enzyme"
"124","ADPRH","Adprh","metabolite interconversion enzyme"
"125","ADRA1A","Adra1a","G-protein coupled receptor"
"126","ADRA1B","Adra1b","G-protein coupled receptor"
"127","ADRA1D","Adra1d","G-protein coupled receptor"
"128","ADRA2A","Adra2a","G-protein coupled receptor"
"129","ADRA2B","Adra2b","G-protein coupled receptor"
"130","ADRA2C","Adra2c","G-protein coupled receptor"
"131","ADRB1","Adrb1","G-protein coupled receptor"
"132","ADRB2","Adrb2","G-protein coupled receptor"
"133","ADRB3","Adrb3","G-protein coupled receptor"
"134","ADSL","Adsl","metabolite interconversion enzyme"
"135","AFDN","Afdn","cytoskeletal"
"136","AGA","Aga","protein modifying enzyme"
"137","AGER","Ager","cell adhesion"
"138","AGMAT","Agmat","metabolite interconversion enzyme"
"139","AGR2","Agr2","metabolite interconversion enzyme"
"140","AGRN","Agrn","cell adhesion"
"141","AGRP","Agrp","other intercellular signal"
"142","AGT","Agt","protein-binding activity modulator"
"143","AGTR1","Agtr1a","G-protein coupled receptor"
"144","AGTR1","Agtr1b","G-protein coupled receptor"
"145","AGTR2","Agtr2","G-protein coupled receptor"
"146","AGTRAP","Agtrap","other transmembrane signal receptor"
"147","AGXT","Agxt","metabolite interconversion enzyme"
"148","AGXT2","Agxt2","unclassified"
"149","AHCY","Ahcy","metabolite interconversion enzyme"
"150","AHCY","Gm4737","metabolite interconversion enzyme"
"151","AHCYL1","Ahcyl1","metabolite interconversion enzyme"
"152","AHCYL2","Ahcyl2","metabolite interconversion enzyme"
"153","AHSG","Ahsg","protein-binding activity modulator"
"154","AICDA","Aicda","RNA metabolism"
"155","AIMP1","Aimp1","translational"
"156","AK1","Ak1","metabolite interconversion enzyme"
"157","AK3","Ak3","metabolite interconversion enzyme"
"158","AK4","Ak4","metabolite interconversion enzyme"
"159","AK7","Ak7","metabolite interconversion enzyme"
"160","AKR1B1","Akr1b3","metabolite interconversion enzyme"
"161","AKR1B10","Akr1b7","metabolite interconversion enzyme"
"162","AKR1B10","Akr1b10","metabolite interconversion enzyme"
"163","AKR1B10","Akr1b8","metabolite interconversion enzyme"
"164","AKR1D1","Akr1d1","metabolite interconversion enzyme"
"165","ALAS1","Alas1","metabolite interconversion enzyme"
"166","ALAS2","Alas2","metabolite interconversion enzyme"
"167","ALB","Alb","transfer/carrier"
"168","ALCAM","Alcam","cell adhesion"
"169","ALDH1A1","Aldh1a1","metabolite interconversion enzyme"
"170","ALDH1A1","Aldh1a7","metabolite interconversion enzyme"
"171","ALDH1A2","Aldh1a2","metabolite interconversion enzyme"
"172","ALDH1A3","Aldh1a3","metabolite interconversion enzyme"
"173","ALDH1B1","Aldh1b1","metabolite interconversion enzyme"
"174","ALDH2","Aldh2","metabolite interconversion enzyme"
"175","ALDH3A1","Aldh3a1","metabolite interconversion enzyme"
"176","ALDH3A2","Aldh3a2","metabolite interconversion enzyme"
"177","ALDH3B1","Aldh3b1","metabolite interconversion enzyme"
"178","ALDH3B2","Aldh3b2","metabolite interconversion enzyme"
"179","ALDH3B2","Aldh3b3","metabolite interconversion enzyme"
"180","ALDH4A1","Aldh4a1","metabolite interconversion enzyme"
"181","ALDH5A1","Aldh5a1","metabolite interconversion enzyme"
"182","ALDH6A1","Aldh6a1","metabolite interconversion enzyme"
"183","ALDH7A1","Aldh7a1","metabolite interconversion enzyme"
"184","ALDH9A1","Aldh9a1","metabolite interconversion enzyme"
"185","ALK","Alk","tyrosine protein kinase receptor"
"186","ALKAL1","Alkal1","other intercellular signal"
"187","ALKAL2","Alkal2","other intercellular signal"
"188","ALKBH1","Alkbh1","DNA metabolism"
"189","ALKBH2","Alkbh2","metabolite interconversion enzyme"
"190","ALLC","Allc","unclassified"
"191","ALOX12","Alox12","metabolite interconversion enzyme"
"192","ALOX15","Alox15","metabolite interconversion enzyme"
"193","ALOX5","Alox5","metabolite interconversion enzyme"
"194","ALOX5AP","Alox5ap","metabolite interconversion enzyme"
"195","AMBN","Ambn","other intercellular signal"
"196","AMDHD2","Amdhd2","metabolite interconversion enzyme"
"197","AMELX","Amelx","other intercellular signal"
"198","AMFR","Amfr","protein modifying enzyme"
"199","AMH","Amh","other intercellular signal"
"200","AMHR2","Amhr2","serine/threonine protein kinase receptor"
"201","AMIGO2","Amigo2","unclassified"
"202","AMTN","Amtn","unclassified"
"203","ANG","Ang","RNA metabolism"
"204","ANG","Ang5","RNA metabolism"
"205","ANG","Ang4","RNA metabolism"
"206","ANG","Ang6","RNA metabolism"
"207","ANG","Ang2","RNA metabolism"
"208","ANGPT1","Angpt1","other intercellular signal"
"209","ANGPT2","Angpt2","other intercellular signal"
"210","ANGPT4","Angpt4","other intercellular signal"
"211","ANGPTL1","Angptl1","other intercellular signal"
"212","ANGPTL2","Angptl2","other intercellular signal"
"213","ANGPTL3","Angptl3","other intercellular signal"
"214","ANGPTL4","Angptl4","other intercellular signal"
"215","ANGPTL7","Angptl7","other intercellular signal"
"216","ANK1","Ank1","scaffold/adaptor"
"217","ANK2","Ank2","scaffold/adaptor"
"218","ANK3","Ank3","scaffold/adaptor"
"219","ANPEP","Anpep","protein modifying enzyme"
"220","ANTXR1","Antxr1","cell adhesion"
"221","ANXA1","Anxa1","calcium-binding"
"222","AOC1","Doxl1","metabolite interconversion enzyme"
"223","AOC1","Doxl2","metabolite interconversion enzyme"
"224","AOC1","Aoc1","metabolite interconversion enzyme"
"225","AOC1","Svs1","metabolite interconversion enzyme"
"226","AOC2","Aoc2","metabolite interconversion enzyme"
"227","AOC3","Aoc3","metabolite interconversion enzyme"
"228","AOX1","Aox1","metabolite interconversion enzyme"
"229","APBA2","Apba2","membrane traffic"
"230","APC","Apc","unclassified"
"231","APCDD1","Apcdd1","unclassified"
"232","APH1B","Aph1b","protein modifying enzyme"
"233","APH1B","Aph1c","protein modifying enzyme"
"234","APLN","Apln","other intercellular signal"
"235","APLNR","Aplnr","G-protein coupled receptor"
"236","APLP1","Aplp1","protein-binding activity modulator"
"237","APLP2","Aplp2","protein-binding activity modulator"
"238","APOA1","Apoa1","transfer/carrier"
"239","APOA2","Apoa2","transfer/carrier"
"240","APOA4","Apoa4","transfer/carrier"
"241","APOB","Apob","transfer/carrier"
"242","APOBEC3H","Apobec3","RNA metabolism"
"243","APOC1","Apoc1","transfer/carrier"
"244","APOC2","Gm44805","transfer/carrier"
"245","APOC2","Apoc2","transfer/carrier"
"246","APOC3","Apoc3","transfer/carrier"
"247","APOC4","Apoc4","transfer/carrier"
"248","APOD","Apod","transfer/carrier"
"249","APOE","Apoe","transfer/carrier"
"250","APOO","Apoo","unclassified"
"251","APP","App","protein-binding activity modulator"
"252","APRT","Aprt","metabolite interconversion enzyme"
"253","AQP1","Aqp1","transporter"
"254","AQP3","Aqp3","transporter"
"255","AQP5","Aqp5","transporter"
"256","AR","Ar","gene-specific transcriptional regulator"
"257","AREG","Areg","growth factor"
"258","ARF1","Arf1","protein-binding activity modulator"
"259","ARF4","Arf4","protein-binding activity modulator"
"260","ARF6","Arf6","protein-binding activity modulator"
"261","ARG1","Arg1","metabolite interconversion enzyme"
"262","ARG2","Arg2","metabolite interconversion enzyme"
"263","ARMH4","Armh4","unclassified"
"264","ARPC5","Arpc5","cytoskeletal"
"265","ARRB2","Arrb2","scaffold/adaptor"
"266","ART1","Art1","metabolite interconversion enzyme"
"267","ARTN","Artn","neurotrophic factor"
"268","ARVCF","Arvcf","cytoskeletal"
"269","ASAH1","Asah1","protein modifying enzyme"
"270","ASAH2","Asah2","unclassified"
"271","ASAH2B","Asah2","unclassified"
"272","ASGR1","Asgr1","membrane traffic"
"273","ASGR2","Asgr2","membrane traffic"
"274","ASIC1","Asic1","ion channel"
"275","ASIC2","Asic2","ion channel"
"276","ASIC3","Asic3","ion channel"
"277","ASIP","a","other intercellular signal"
"278","ASL","Asl","metabolite interconversion enzyme"
"279","ASMT","Asmt","metabolite interconversion enzyme"
"280","ASNS","Asns","metabolite interconversion enzyme"
"281","ASPA","Aspa","unclassified"
"282","ASPG","Aspg","unclassified"
"283","ASPH","Asph","protein modifying enzyme"
"284","ASRGL1","Asrgl1","protein modifying enzyme"
"285","ATN1","Gm45234","gene-specific transcriptional regulator"
"286","ATN1","Atn1","gene-specific transcriptional regulator"
"287","ATP1A3","Atp1a3","transporter"
"288","ATP1B1","Atp1b1","transporter"
"289","ATP5F1B","Atp5b","transporter"
"290","ATP6AP2","Atp6ap2","other transmembrane signal receptor"
"291","ATP7A","Atp7a","transporter"
"292","ATP7B","Atp7b","transporter"
"293","ATRN","Atrn","gene-specific transcriptional regulator"
"294","AVP","Avp","neuropeptide"
"295","AVPR1A","Avpr1a","G-protein coupled receptor"
"296","AVPR1B","Avpr1b","G-protein coupled receptor"
"297","AVPR2","Avpr2","G-protein coupled receptor"
"298","AXL","Axl","tyrosine protein kinase receptor"
"299","AZGP1","Azgp1","defense/immunity"
"300","B2M","B2m","defense/immunity"
"301","B3GAT2","B3gat2","metabolite interconversion enzyme"
"302","B3GAT3","B3gat3","metabolite interconversion enzyme"
"303","B3GNT7","B3gnt7","metabolite interconversion enzyme"
"304","B4GALNT1","B4galnt1","unclassified"
"305","B4GALT1","B4galt1","metabolite interconversion enzyme"
"306","B4GALT2","B4galt2","metabolite interconversion enzyme"
"307","B9D1","B9d1","structural"
"308","BAAT","Baat","metabolite interconversion enzyme"
"309","BACE1","Bace1","protein modifying enzyme"
"310","BAG6","Bag6","chaperone"
"311","BAMBI","Bambi","other intercellular signal"
"312","BAX","Bax","unclassified"
"313","BBOX1","Bbox1","metabolite interconversion enzyme"
"314","BCAM","Bcam","cell adhesion"
"315","BCAN","Bcan","extracellular matrix"
"316","BCAT1","Bcat1","metabolite interconversion enzyme"
"317","BCAT2","Bcat2","metabolite interconversion enzyme"
"318","BCHE","Bche","metabolite interconversion enzyme"
"319","BCL11A","Bcl11a","gene-specific transcriptional regulator"
"320","BCL11B","Bcl11b","gene-specific transcriptional regulator"
"321","BCL2L1","Bcl2l1","unclassified"
"322","BCL6","Bcl6","gene-specific transcriptional regulator"
"323","BCO1","Bco1","metabolite interconversion enzyme"
"324","BDKRB1","Bdkrb1","G-protein coupled receptor"
"325","BDKRB2","Bdkrb2","G-protein coupled receptor"
"326","BDNF","Bdnf","neurotrophic factor"
"327","BEX3","Bex3","other intercellular signal"
"328","BGLAP","Bglap3","other intercellular signal"
"329","BGLAP","Bglap","other intercellular signal"
"330","BGLAP","Bglap2","other intercellular signal"
"331","BGN","Bgn","unclassified"
"332","BHMT","Bhmt","metabolite interconversion enzyme"
"333","BHMT","Gm5096","metabolite interconversion enzyme"
"334","BHMT2","Bhmt2","metabolite interconversion enzyme"
"335","BICD1","Bicd1","other intercellular signal"
"336","BLVRA","Blvra","metabolite interconversion enzyme"
"337","BLVRB","Blvrb","metabolite interconversion enzyme"
"338","BMP1","Bmp1","protein modifying enzyme"
"339","BMP10","Bmp10","growth factor"
"340","BMP15","Bmp15","growth factor"
"341","BMP2","Bmp2","growth factor"
"342","BMP3","Bmp3","growth factor"
"343","BMP4","Bmp4","growth factor"
"344","BMP5","Bmp5","growth factor"
"345","BMP6","Bmp6","growth factor"
"346","BMP7","Bmp7","growth factor"
"347","BMPR1A","Bmpr1a","serine/threonine protein kinase receptor"
"348","BMPR1B","Bmpr1b","serine/threonine protein kinase receptor"
"349","BMPR2","Bmpr2","serine/threonine protein kinase receptor"
"350","BOC","Boc","cell adhesion"
"351","BPI","Bpi","defense/immunity"
"352","BPNT1","Bpnt1","metabolite interconversion enzyme"
"353","BRS3","Brs3","other transmembrane signal receptor"
"354","BSG","Bsg","scaffold/adaptor"
"355","BSPRY","Bspry","protein modifying enzyme"
"356","BST1","Bst1","metabolite interconversion enzyme"
"357","BST2","Bst2","unclassified"
"358","BTC","Btc","growth factor"
"359","BTD","Btd","metabolite interconversion enzyme"
"360","BTK","Btk","protein modifying enzyme"
"361","BTLA","Btla","other transmembrane signal receptor"
"362","BTN1A1","Btn1a1","defense/immunity"
"363","BTN2A2","Btn2a2","defense/immunity"
"364","BTN3A1","Gm36028","defense/immunity"
"365","BTNL9","Btnl9","defense/immunity"
"366","BTRC","Btrc","cytoskeletal"
"367","C1QA","C1qa","scaffold/adaptor"
"368","C1QB","C1qb","scaffold/adaptor"
"369","C1QBP","C1qbp","defense/immunity"
"370","C1QC","C1qc","scaffold/adaptor"
"371","C1QTNF1","C1qtnf1","scaffold/adaptor"
"372","C1QTNF5","C1qtnf5","scaffold/adaptor"
"373","C1R","C1ra","protein modifying enzyme"
"374","C1R","C1rb","protein modifying enzyme"
"375","C1S","C1s1","protein modifying enzyme"
"376","C1S","C1s2","protein modifying enzyme"
"377","C3","C3","protein-binding activity modulator"
"378","C3AR1","C3ar1","G-protein coupled receptor"
"379","C4A","C4b","protein-binding activity modulator"
"380","C4BPA","C4bp","defense/immunity"
"381","C5","Hc","protein-binding activity modulator"
"382","C5AR1","C5ar1","G-protein coupled receptor"
"383","C5AR2","C5ar2","G-protein coupled receptor"
"384","C6orf15","2300002M23Rik","unclassified"
"385","C7","C7","defense/immunity"
"386","C7orf50","3110082I17Rik","unclassified"
"387","CA12","Car12","metabolite interconversion enzyme"
"388","CA2","Car2","metabolite interconversion enzyme"
"389","CABP1","Cabp1","unclassified"
"390","CACHD1","Cachd1","ion channel"
"391","CACNA1C","Cacna1c","ion channel"
"392","CADM1","Cadm1","other intercellular signal"
"393","CADM2","Cadm2","unclassified"
"394","CADM3","Cadm3","unclassified"
"395","CADM4","Cadm4","other intercellular signal"
"396","CALB1","Calb1","calcium-binding"
"397","CALCA","Calca","peptide hormone"
"398","CALCB","Calcb","peptide hormone"
"399","CALCR","Calcr","other transmembrane signal receptor"
"400","CALCRL","Calcrl","other transmembrane signal receptor"
"401","CALR","Calr","chaperone"
"402","CAMP","Camp","defense/immunity"
"403","CANX","Canx","chaperone"
"404","CAP1","Cap1","cytoskeletal"
"405","CARD11","Card11","scaffold/adaptor"
"406","CARTPT","Cartpt","other intercellular signal"
"407","CASK","Cask","scaffold/adaptor"
"408","CASP3","Casp3","protein modifying enzyme"
"409","CASP8","Casp8","protein modifying enzyme"
"410","CASR","Casr","G-protein coupled receptor"
"411","CAT","Cat","metabolite interconversion enzyme"
"412","CATSPER1","Catsper1","ion channel"
"413","CAV1","Cav1","scaffold/adaptor"
"414","CBL","Cbl","metabolite interconversion enzyme"
"415","CBLN1","Cbln1","scaffold/adaptor"
"416","CBLN2","Cbln2","scaffold/adaptor"
"417","CBLN3","Cbln3","scaffold/adaptor"
"418","CBLN4","Cbln4","scaffold/adaptor"
"419","CBR1","Cbr1","metabolite interconversion enzyme"
"420","CBR1","Gm5678","metabolite interconversion enzyme"
"421","CBR3","Cbr3","metabolite interconversion enzyme"
"422","CBS","Cbs","metabolite interconversion enzyme"
"423","CC2D2A","Cc2d2a","unclassified"
"424","CCBE1","Ccbe1","extracellular matrix"
"425","CCK","Cck","other intercellular signal"
"426","CCKAR","Cckar","G-protein coupled receptor"
"427","CCKBR","Cckbr","G-protein coupled receptor"
"428","CCL1","Ccl8","cytokine"
"429","CCL1","Ccl2","cytokine"
"430","CCL11","Ccl11","cytokine"
"431","CCL15","Ccl9","cytokine"
"432","CCL15","Ccl6","cytokine"
"433","CCL17","Ccl17","cytokine"
"434","CCL18","Ccl3","cytokine"
"435","CCL19","Ccl19","cytokine"
"436","CCL20","Ccl20","cytokine"
"437","CCL21","Ccl21d","cytokine"
"438","CCL21","Ccl21b","cytokine"
"439","CCL21","Ccl21a","cytokine"
"440","CCL21","Gm13304","cytokine"
"441","CCL21","Gm10591","cytokine"
"442","CCL22","Ccl22","cytokine"
"443","CCL23","Ccl6","cytokine"
"444","CCL23","Ccl9","cytokine"
"445","CCL24","Ccl24","cytokine"
"446","CCL27","Ccl27b","cytokine"
"447","CCL27","Gm13306","cytokine"
"448","CCL27","Ccl27a","cytokine"
"449","CCL28","Ccl28","cytokine"
"450","CCL3","Ccl3","cytokine"
"451","CCL3L1","Ccl3","cytokine"
"452","CCL3L3","Ccl3","cytokine"
"453","CCL4","Ccl4","cytokine"
"454","CCL4L2","Ccl4","cytokine"
"455","CCL7","Ccl7","cytokine"
"456","CCL8","Ccl12","cytokine"
"457","CCN1","Ccn1","growth factor"
"458","CCN2","Ccn2","growth factor"
"459","CCN3","Ccn3","growth factor"
"460","CCN4","Ccn4","growth factor"
"461","CCN6","Ccn6","growth factor"
"462","CCR1","Ccr1l1","cell adhesion"
"463","CCR1","Ccr1","cell adhesion"
"464","CCR10","Ccr10","cell adhesion"
"465","CCR2","Ccr2","cell adhesion"
"466","CCR3","Ccr3","cell adhesion"
"467","CCR4","Ccr4","cell adhesion"
"468","CCR5","Ccr5","cell adhesion"
"469","CCR6","Ccr6","cell adhesion"
"470","CCR7","Ccr7","cell adhesion"
"471","CCR8","Ccr8","cell adhesion"
"472","CCR9","Ccr9","cell adhesion"
"473","CCRL2","Ccrl2","cell adhesion"
"474","CD109","Cd109","protein-binding activity modulator"
"475","CD14","Cd14","other transmembrane signal receptor"
"476","CD151","Cd151","scaffold/adaptor"
"477","CD160","Cd160","other intercellular signal"
"478","CD163","Cd163","protein modifying enzyme"
"479","CD177","Cd177","other intercellular signal"
"480","CD180","Cd180","other transmembrane signal receptor"
"481","CD19","Cd19","unclassified"
"482","CD1D","Cd1d1","defense/immunity"
"483","CD1D","Cd1d2","defense/immunity"
"484","CD2","Cd2","defense/immunity"
"485","CD200","Cd200","unclassified"
"486","CD200R1","Cd200r1","other transmembrane signal receptor"
"487","CD200R1","Cd200r4","other transmembrane signal receptor"
"488","CD200R1","Cd200r2","other transmembrane signal receptor"
"489","CD200R1","Cd200r3","other transmembrane signal receptor"
"490","CD200R1L","Cd200r3","other transmembrane signal receptor"
"491","CD200R1L","Cd200r1","other transmembrane signal receptor"
"492","CD200R1L","Cd200r4","other transmembrane signal receptor"
"493","CD200R1L","Cd200r2","other transmembrane signal receptor"
"494","CD209","Cd209d","membrane traffic"
"495","CD209","Cd209e","membrane traffic"
"496","CD209","Cd209c","membrane traffic"
"497","CD209","Cd209a","membrane traffic"
"498","CD209","Cd209b","membrane traffic"
"499","CD22","Cd22","other intercellular signal"
"500","CD226","Cd226","other intercellular signal"
"501","CD24","Cd24a","unclassified"
"502","CD244","Cd244a","defense/immunity"
"503","CD247","Cd247","defense/immunity"
"504","CD248","Cd248","unclassified"
"505","CD27","Cd27","other transmembrane signal receptor"
"506","CD274","Cd274","defense/immunity"
"507","CD276","Cd276","defense/immunity"
"508","CD28","Cd28","defense/immunity"
"509","CD2BP2","Cd2bp2","RNA metabolism"
"510","CD300A","Cd300a","defense/immunity"
"511","CD300C","Cd300c2","defense/immunity"
"512","CD300C","Cd300c","defense/immunity"
"513","CD300E","Cd300e","defense/immunity"
"514","CD300LB","Cd300lb","defense/immunity"
"515","CD300LF","Cd300ld","defense/immunity"
"516","CD300LF","Cd300ld2","defense/immunity"
"517","CD300LF","Cd300ld3","defense/immunity"
"518","CD300LF","Cd300lf","defense/immunity"
"519","CD300LF","Cd300ld5","defense/immunity"
"520","CD300LF","Cd300ld4","defense/immunity"
"521","CD300LG","Cd300lg","defense/immunity"
"522","CD320","Cd320","transfer/carrier"
"523","CD33","Siglecf","cell adhesion"
"524","CD33","Siglech","cell adhesion"
"525","CD33","Cd33","cell adhesion"
"526","CD34","Cd34","cell adhesion"
"527","CD36","Cd36","membrane traffic"
"528","CD37","Cd37","scaffold/adaptor"
"529","CD38","Cd38","metabolite interconversion enzyme"
"530","CD3D","Cd3d","defense/immunity"
"531","CD3G","Cd3g","defense/immunity"
"532","CD4","Cd4","defense/immunity"
"533","CD40","Cd40","other transmembrane signal receptor"
"534","CD40LG","Cd40lg","other intercellular signal"
"535","CD44","Cd44","other transmembrane signal receptor"
"536","CD46","Cd46","defense/immunity"
"537","CD47","Cd47","cell adhesion"
"538","CD48","Cd48","defense/immunity"
"539","CD5","Cd5","defense/immunity"
"540","CD52","Cd52","unclassified"
"541","CD53","Cd53","scaffold/adaptor"
"542","CD55","Cd55","defense/immunity"
"543","CD55","Cd55b","defense/immunity"
"544","CD59","Cd59b","unclassified"
"545","CD59","Cd59a","unclassified"
"546","CD5L","Cd5l","unclassified"
"547","CD6","Cd6","protein modifying enzyme"
"548","CD63","Cd63","scaffold/adaptor"
"549","CD69","Cd69","defense/immunity"
"550","CD7","Cd7","other transmembrane signal receptor"
"551","CD70","Cd70","other intercellular signal"
"552","CD72","Cd72","other intercellular signal"
"553","CD74","Cd74","scaffold/adaptor"
"554","CD79A","Cd79a","defense/immunity"
"555","CD79B","Cd79b","defense/immunity"
"556","CD80","Cd80","defense/immunity"
"557","CD81","Cd81","scaffold/adaptor"
"558","CD82","Cd82","scaffold/adaptor"
"559","CD83","Cd83","unclassified"
"560","CD84","Cd84","defense/immunity"
"561","CD86","Cd86","defense/immunity"
"562","CD8A","Cd8a","other intercellular signal"
"563","CD8B","Cd8b1","defense/immunity"
"564","CD8B2","Cd8b1","defense/immunity"
"565","CD9","Cd9","scaffold/adaptor"
"566","CD93","Cd93","extracellular matrix"
"567","CD96","Cd96","defense/immunity"
"568","CD99L2","Cd99l2","unclassified"
"569","CDA","Cda","metabolite interconversion enzyme"
"570","CDC37","Cdc37","chaperone"
"571","CDCP1","Cdcp1","unclassified"
"572","CDH1","Cdh1","cell adhesion"
"573","CDH10","Cdh10","cell adhesion"
